concept_id,include_guess,include_override,dx_core_concept_ids,dx_core_concept_names,dx_core_count,concept_name,vocabulary_id,concept_class_id,standard_concept
4001336,TRUE,,1572414,Concussion,1,Concussion injury of brain,SNOMED,Disorder,S
45592510,TRUE,,1572414;1572413,Concussion;Intracranial injury,2,"Concussion with loss of consciousness of unspecified duration, initial encounter",ICD10CM,7-char billing code,NULL
37402975,TRUE,,1572414;1572413,Concussion;Intracranial injury,2,"Concussion with loss of consciousness status unknown, initial encounter",ICD10CM,7-char billing code,NULL
37402977,TRUE,,1572414;1572413,Concussion;Intracranial injury,2,"Concussion with loss of consciousness status unknown, sequela",ICD10CM,7-char billing code,NULL
4057350,TRUE,,10655,Crushing injury of skull,1,Crushing injury of skull,SNOMED,Disorder,S
45597315,TRUE,,10655,Crushing injury of skull,1,"Crushing injury of skull, initial encounter",ICD10CM,7-char billing code,NULL
45577925,TRUE,,10655,Crushing injury of skull,1,"Crushing injury of skull, sequela",ICD10CM,7-char billing code,NULL
45587633,TRUE,,10655,Crushing injury of skull,1,"Crushing injury of skull, subsequent encounter",ICD10CM,7-char billing code,NULL
1572414,TRUE,,1572413,Intracranial injury,1,Concussion,ICD10CM,4-char nonbill code,NULL
1572422,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified",ICD10CM,5-char nonbill code,NULL
10529,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level",ICD10CM,6-char nonbill code,NULL
45549074,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ICD10CM,7-char billing code,NULL
45553841,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",ICD10CM,7-char billing code,NULL
45587609,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ICD10CM,7-char billing code,NULL
10530,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving",ICD10CM,6-char nonbill code,NULL
45597287,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ICD10CM,7-char billing code,NULL
45602105,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ICD10CM,7-char billing code,NULL
45553842,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ICD10CM,7-char billing code,NULL
10527,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes",ICD10CM,6-char nonbill code,NULL
45577901,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45558587,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45592528,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10525,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less",ICD10CM,6-char nonbill code,NULL
45597285,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter",ICD10CM,7-char billing code,NULL
45602104,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela",ICD10CM,7-char billing code,NULL
45602103,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, subsequent encounter",ICD10CM,7-char billing code,NULL
10526,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes",ICD10CM,6-char nonbill code,NULL
45582816,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45544256,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45597286,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10528,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours",ICD10CM,6-char nonbill code,NULL
45549073,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",ICD10CM,7-char billing code,NULL
45534557,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela",ICD10CM,7-char billing code,NULL
45568242,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ICD10CM,7-char billing code,NULL
10531,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",ICD10CM,6-char nonbill code,NULL
45563403,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10532,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",ICD10CM,6-char nonbill code,NULL
45549076,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10533,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration",ICD10CM,6-char nonbill code,NULL
45577902,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",ICD10CM,7-char billing code,NULL
45553843,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela",ICD10CM,7-char billing code,NULL
45577903,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, subsequent encounter",ICD10CM,7-char billing code,NULL
37402998,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown",ICD10CM,6-char nonbill code,NULL
37402999,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, initial encounter",ICD10CM,7-char billing code,NULL
37403001,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, sequela",ICD10CM,7-char billing code,NULL
37403000,TRUE,,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter",ICD10CM,7-char billing code,NULL
