concept_id,dx_core_concept_ids,dx_concept_names,dx_core_count,concept_name,vocabulary_id,concept_class_id,standard_concept
1572414,1572413,Intracranial injury,1,Concussion,ICD10CM,4-char nonbill code,NULL
45553833,1572413,Intracranial injury,1,Concussion,ICD10CM,5-char nonbill code,NULL
10465,1572413,Intracranial injury,1,Concussion with loss of consciousness of 30 minutes or less,ICD10CM,6-char nonbill code,NULL
45592507,1572413,Intracranial injury,1,"Concussion with loss of consciousness of 30 minutes or less, initial encounter",ICD10CM,7-char billing code,NULL
45582806,1572413,Intracranial injury,1,"Concussion with loss of consciousness of 30 minutes or less, sequela",ICD10CM,7-char billing code,NULL
45568223,1572413,Intracranial injury,1,"Concussion with loss of consciousness of 30 minutes or less, subsequent encounter",ICD10CM,7-char billing code,NULL
10473,1572413,Intracranial injury,1,Concussion with loss of consciousness of unspecified duration,ICD10CM,6-char nonbill code,NULL
45592510,1572413,Intracranial injury,1,"Concussion with loss of consciousness of unspecified duration, initial encounter",ICD10CM,7-char billing code,NULL
45534550,1572413,Intracranial injury,1,"Concussion with loss of consciousness of unspecified duration, sequela",ICD10CM,7-char billing code,NULL
45549061,1572413,Intracranial injury,1,"Concussion with loss of consciousness of unspecified duration, subsequent encounter",ICD10CM,7-char billing code,NULL
37402974,1572413,Intracranial injury,1,Concussion with loss of consciousness status unknown,ICD10CM,6-char nonbill code,NULL
37402975,1572413,Intracranial injury,1,"Concussion with loss of consciousness status unknown, initial encounter",ICD10CM,7-char billing code,NULL
37402977,1572413,Intracranial injury,1,"Concussion with loss of consciousness status unknown, sequela",ICD10CM,7-char billing code,NULL
37402976,1572413,Intracranial injury,1,"Concussion with loss of consciousness status unknown, subsequent encounter",ICD10CM,7-char billing code,NULL
10464,1572413,Intracranial injury,1,Concussion without loss of consciousness,ICD10CM,6-char nonbill code,NULL
45592506,1572413,Intracranial injury,1,"Concussion without loss of consciousness, initial encounter",ICD10CM,7-char billing code,NULL
45558578,1572413,Intracranial injury,1,"Concussion without loss of consciousness, sequela",ICD10CM,7-char billing code,NULL
45563393,1572413,Intracranial injury,1,"Concussion without loss of consciousness, subsequent encounter",ICD10CM,7-char billing code,NULL
1572422,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified",ICD10CM,5-char nonbill code,NULL
10529,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level",ICD10CM,6-char nonbill code,NULL
45549074,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ICD10CM,7-char billing code,NULL
45553841,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",ICD10CM,7-char billing code,NULL
45587609,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ICD10CM,7-char billing code,NULL
10530,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving",ICD10CM,6-char nonbill code,NULL
45597287,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ICD10CM,7-char billing code,NULL
45602105,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ICD10CM,7-char billing code,NULL
45553842,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ICD10CM,7-char billing code,NULL
10527,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes",ICD10CM,6-char nonbill code,NULL
45577901,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45558587,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45592528,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10525,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less",ICD10CM,6-char nonbill code,NULL
45597285,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter",ICD10CM,7-char billing code,NULL
45602104,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela",ICD10CM,7-char billing code,NULL
45602103,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, subsequent encounter",ICD10CM,7-char billing code,NULL
10526,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes",ICD10CM,6-char nonbill code,NULL
45582816,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ICD10CM,7-char billing code,NULL
45544256,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela",ICD10CM,7-char billing code,NULL
45597286,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ICD10CM,7-char billing code,NULL
10528,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours",ICD10CM,6-char nonbill code,NULL
45549073,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",ICD10CM,7-char billing code,NULL
45534557,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela",ICD10CM,7-char billing code,NULL
45568242,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ICD10CM,7-char billing code,NULL
10531,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",ICD10CM,6-char nonbill code,NULL
45563403,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10532,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",ICD10CM,6-char nonbill code,NULL
45549076,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",ICD10CM,7-char billing code,NULL
10533,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration",ICD10CM,6-char nonbill code,NULL
45577902,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",ICD10CM,7-char billing code,NULL
45553843,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela",ICD10CM,7-char billing code,NULL
45577903,1572413,Intracranial injury,1,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, subsequent encounter",ICD10CM,7-char billing code,NULL
