Variable,X1,X3,X5,X7,X9,X11
Intercept,4.882198192,1.282457511,0.999109089,-2.138227469,-6.090203284,1.064665961
CCI,-0.006872719,0.036607379,0.007699436,0.019778001,-0.018149581,-0.039062516
Gender=Male,-0.258832955,-0.08275662,0,0.081408446,0.807260834,-0.109090882
Ethnicity= Not Hispanic or Latino,-0.059559897,-0.012299378,0,0.404127719,0.259836217,-0.056230391
Age>60,-0.297315675,0.087120258,-0.100221144,0.052480396,-1.38853471,1.646470875
Targeted Antivirals,-0.677769244,0,0,-0.433186147,0,0.597046133
Untargeted Antivirals,0.69397686,0,-0.595975577,0,0,0
Spike Protein Monoclonal Antibodies,2.106663646,0.08192818,-1.204288293,-0.802205395,-0.59432226,0.412224122
Immunomodulator Monoclonal Antibodies,-2.180258236,0.501304258,-0.334166916,2.093515587,0.780085541,-0.860480236
Steroids,0,-0.206679043,-0.762396718,0.816640214,0.405304852,-0.116274628
Antibiotics,0.511171563,-0.080393446,0.203487964,-0.567779705,-0.183436081,0.116949706
Anticoagulants,0,-0.071175924,-0.171935496,0.59844756,1.317630048,-1.070851717
Miscellaneous,-0.576643616,0.124049206,0.276957627,0.078789503,0,-0.400928624
Pressors Used,-1.54158876,-0.739097761,-0.46180758,1.059978159,1.600031523,0.082484418
CCI: Targeted Antivirals,0.001870097,0.029142203,-0.022621748,0,-0.016383905,0.006403559
CCI: Untargeted Antivirals,0.029030205,0.004297981,0,0.02360516,-0.059511867,-0.010047644
CCI: Spike Protein Monoclonal Antibodies,0,-0.027362556,0.229575392,-0.165785678,-0.064522865,0.166049574
CCI: Immunomodulator Monoclonal Antibodies,-0.040324883,-0.02636556,0,-0.096711073,0.189378339,0.055118144
CCI: Steroids,-0.027552133,0.002259475,0,-0.003262521,0.102471293,-0.025273926
CCI: Antibiotics,0.003401077,0.001489088,0.017030863,-0.018497335,-0.03602416,0
CCI: Anticoagulants,-0.082451024,-0.023744851,0.030452941,0.035361511,-0.007422255,0.047803677
CCI: Miscellaneous,0.02263046,-0.011983784,0.005252931,-0.020239788,0.018924657,-0.014584476
Steroids: Targeted Antivirals,0,0.575064128,0.03234535,-0.430417478,0,-0.402245469
Steroids: Untargeted Antivirals,0.061343698,-0.013500564,0.659692022,-0.479507011,0,-0.077062072
Steroids: Spike Protein Monoclonal Antibodies,0.48800667,-0.828459022,-0.28909519,1.385928947,-0.968201856,0.211820451
Steroids: Immunomodulator Monoclonal Antibodies,-0.162705883,0,0.515711737,0.390553795,-1.615793754,0.403472559
Steroids: Antibiotics,-0.275067517,-0.031963314,0,0.131677431,0.799363014,-0.306826016
Steroids: Anticoagulants,-0.552709139,-0.319572055,0.499750539,-0.647918945,0.763667594,0.256782006
Steroids: Miscellaneous,0.000384729,0.080279632,-0.023026333,-0.144914483,0,0.081273816
Anticoagulants: Targeted Antivirals,0.546978303,-0.504477406,-0.267647017,1.070925419,0,-0.154562795
Anticoagulants: Untargeted Antivirals,-0.727947411,0.276342658,0.066824473,-0.267385503,0,0.400949286
Anticoagulants: Spike Protein Monoclonal Antibodies,-0.072654082,2.709352168,0.739386279,0,-0.795948348,-1.108882064
Anticoagulants: Immunomodulator Monoclonal Antibodies,1.887746389,-0.570771028,-0.381060246,-2.120484512,1.142397245,0.042172152
Anticoagulants: Antibiotics,-0.492638602,0.101645077,-0.29535506,0.881299678,-0.30598556,0.111034468
Anticoagulants: Miscellaneous,0.02652283,-0.218277427,-0.34751957,0,0.139209374,0.153345458
