Concept Id,Concept Name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date
46257466,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), percutaneous, 6 years and older (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33952,5/1/2015,12/31/2099
2800859,Extracorporeal or Systemic Assistance and Performance @ Physiological Systems @ Performance @ Respiratory @ 24-96 Consecutive Hours @ Ventilation,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,5A1945,1/1/1970,12/31/2099
46257512,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33951,5/1/2015,12/31/2099
46257513,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33957,5/11/2015,12/31/2099
46257439,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition of central cannula(e) by sternotomy or thoracotomy, birth through 5 years of age (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33963,5/1/2015,12/31/2099
46257467,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), percutaneous, 6 years and older (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33958,5/1/2015,12/31/2099
46257684,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), open, 6 years and older (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33962,5/11/2015,12/31/2099
46257440,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition central cannula(e) by sternotomy or thoracotomy, 6 years and older (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33964,5/11/2015,12/31/2099
46257438,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), open, 6 years and older",Procedure,CPT4,CPT4,S,33954,5/11/2015,12/31/2099
46257399,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), open, 6 years and older",Procedure,CPT4,CPT4,S,33984,5/1/2015,12/31/2099
46257730,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age",Procedure,CPT4,CPT4,S,33965,5/1/2015,12/31/2099
3525733,Extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,null,2.67261E+14,1/1/1970,10/2/2006
42739551,"Subsequent neonatal intensive care, per day, for the evaluation and management of a critically ill though stable neonate or infant Critically ill though stable neonates require cardiac and/or respiratory support (including ventilator and n... (Deprecated)",Procedure,CPT4,CPT4,S,99297,1/1/1970,3/31/2003
2893766,Extracorporeal or Systemic Assistance and Performance @ Physiological Systems @ Performance @ Respiratory @ Less than 24 Consecutive Hours @ Ventilation,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,5A1935,1/1/1970,12/31/2099
46257682,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; initiation, veno-arterial",Procedure,CPT4,CPT4,S,33947,5/1/2015,12/31/2099
46257683,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of peripheral (arterial and/or venous) cannula(e), open, birth through 5 years of age",Procedure,CPT4,CPT4,S,33953,5/11/2015,12/31/2099
46257544,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), open, birth through 5 years of age",Procedure,CPT4,CPT4,S,33969,5/1/2015,12/31/2099
46257398,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of central cannula(e) by sternotomy or thoracotomy, 6 years and older",Procedure,CPT4,CPT4,S,33956,5/1/2015,12/31/2099
46257543,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; initiation, veno-venous",Procedure,CPT4,CPT4,S,33946,5/1/2015,12/31/2099
46257468,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), percutaneous, 6 years and older",Procedure,CPT4,CPT4,S,33966,5/1/2015,12/31/2099
46257397,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of central cannula(e) by sternotomy or thoracotomy, birth through 5 years of age",Procedure,CPT4,CPT4,S,33955,5/1/2015,12/31/2099
3245375,Extracorporeal membrane oxygenation,Procedure,Nebraska Lexicon,Procedure,null,233573008,1/31/2002,12/31/2099
46257729,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), open, birth through 5 years of age (includes fluoroscopic guidance, when performed)",Procedure,CPT4,CPT4,S,33959,5/1/2015,12/31/2099
2834015,Extracorporeal or Systemic Assistance and Performance @ Physiological Systems @ Performance @ Respiratory @ Greater than 96 Consecutive Hours @ Ventilation,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,5A1955,1/1/1970,12/31/2099
2813710,Extracorporeal or Systemic Assistance and Performance @ Physiological Systems @ Assistance @ Respiratory @ Greater than 96 Consecutive Hours @ Ventilation,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,5A0955,1/1/1970,12/31/2099
46257680,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of central cannula(e) by sternotomy or thoracotomy, 6 years and older",Procedure,CPT4,CPT4,S,33986,5/1/2015,12/31/2099
2805870,Extracorporeal or Systemic Assistance and Performance @ Physiological Systems @ Assistance @ Respiratory @ Less than 24 Consecutive Hours @ Ventilation,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,5A0935,1/1/1970,12/31/2099
46257441,"Arterial exposure with creation of graft conduit (eg, chimney graft) to facilitate arterial perfusion for ECMO/ECLS (List separately in addition to code for primary procedure)",Procedure,CPT4,CPT4,S,33987,5/1/2015,12/31/2099
2867784,Extracorporeal or Systemic Assistance and Performance @ Physiological Systems @ Assistance @ Respiratory @ 24-96 Consecutive Hours @ Ventilation,Procedure,ICD10PCS,ICD10PCS Hierarchy,S,5A0945,1/1/1970,12/31/2099
37206601,Venoarterial extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,S,786451004,7/31/2019,12/31/2099
46257685,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of central cannula(e) by sternotomy or thoracotomy, birth through 5 years of age",Procedure,CPT4,CPT4,S,33985,5/11/2015,12/31/2099
46257511,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; daily management, each day, veno-arterial",Procedure,CPT4,CPT4,S,33949,5/11/2015,12/31/2099
46257510,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; daily management, each day, veno-venous",Procedure,CPT4,CPT4,S,33948,5/1/2015,12/31/2099
46257469,"Removal of left heart vent by thoracic incision (eg, sternotomy, thoracotomy) for ECMO/ECLS",Procedure,CPT4,CPT4,S,33989,5/1/2015,12/31/2099
3396547,Cardiac support using extracorporeal membrane oxygenation circuitry,Procedure,Nebraska Lexicon,Procedure,null,232969009,1/31/2002,12/31/2099
2108293,Insertion of cannula(s) for prolonged extracorporeal circulation for cardiopulmonary insufficiency (ECMO) (separate procedure),Procedure,CPT4,CPT4,S,36822,1/1/1970,5/10/2015
44811012,Fluoroscopy guided percutaneous insertion of cannula for extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,S,8.62791E+14,4/1/2013,12/31/2099
46257585,Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician,Procedure,CPT4,CPT4 Hierarchy,C,1022227,5/11/2015,12/31/2099
46257586,Extracorporeal Membrane Oxygenation or Extracorporeal Life Support Services and Procedures,Observation,CPT4,CPT4 Hierarchy,C,1021846,5/11/2015,12/31/2099
46257400,"Insertion of left heart vent by thoracic incision (eg, sternotomy, thoracotomy) for ECMO/ECLS",Procedure,CPT4,CPT4,S,33988,5/11/2015,12/31/2099
4338595,Cardiac support using extracorporeal membrane oxygenation circuitry,Procedure,SNOMED,Procedure,S,232969009,1/31/2002,12/31/2099
1531631,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-arterial",Procedure,ICD10PCS,ICD10PCS,S,5A1522G,1/1/2019,12/31/2099
2788034,"Extracorporeal Membrane Oxygenation, Continuous (Deprecated)",Procedure,ICD10PCS,ICD10PCS,S,5A15223,4/22/2014,9/30/2020
1531630,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-venous",Procedure,ICD10PCS,ICD10PCS,S,5A1522H,1/1/2019,12/31/2099
2787820,"Extracorporeal Supersaturated Oxygenation, Intermittent",Procedure,ICD10PCS,ICD10PCS,S,5A0512C,4/22/2014,12/31/2099
37206602,Arteriovenous extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,S,786452006,7/31/2019,12/31/2099
2787821,"Extracorporeal Hyperbaric Oxygenation, Continuous",Procedure,ICD10PCS,ICD10PCS,S,5A05221,4/22/2014,12/31/2099
2002247,Extracorporeal membrane oxygenation [ECMO],Procedure,ICD9Proc,4-dig billing code,null,39.65,1/1/1970,12/31/2099
37206603,Venovenous extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,S,786453001,7/31/2019,12/31/2099
3118570,Extracorporeal membrane oxygenation,Procedure,Nebraska Lexicon,Procedure,null,180904009,1/31/2002,7/31/2017
1531632,"Extracorporeal Oxygenation, Membrane, Central",Procedure,ICD10PCS,ICD10PCS,S,5A1522F,1/1/2019,12/31/2099
40379806,Extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,null,180904009,1/1/1970,1/31/2002
4052536,Extracorporeal membrane oxygenation,Procedure,SNOMED,Procedure,S,233573008,1/31/2002,12/31/2099
44515635,Extracorporeal membrane oxygenation,Procedure,OPCS4,Procedure,null,X58.1,1/1/1970,12/31/2099
4197460,Injection of epinephrine,Procedure,SNOMED,Procedure,S,313191000,1/31/2002,12/31/2099
1321363,4 ML norepinephrine 1 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,242969,1/1/1970,12/31/2099
46275918,1 ML epinephrine 1 MG/ML Injection [Adrenalin],Drug,RxNorm,Quant Branded Drug,S,1660016,9/8/2015,12/31/2099
1507835,vasopressin (USP),Drug,RxNorm,Ingredient,S,11149,1/1/1970,12/31/2099
1507838,vasopressin (USP) 20 UNT/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,313578,1/1/1970,12/31/2099
1344245,10 ML epinephrine 0.1 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,727373,9/2/2007,12/31/2099
42707286,phenylephrine hydrochloride 10 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,1232651,5/7/2012,12/31/2099
19076899,epinephrine 1 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,310132,1/1/1970,12/31/2099
40074086,phenylephrine Injectable Solution,Drug,RxNorm,Clinical Drug Form,S,373369,1/1/1970,12/31/2099
1594367,NDA201739 0.3 ML epinephrine 1 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,1870205,8/7/2017,12/31/2099
45775841,vasopressin (USP) 20 UNT/ML Injectable Solution [Vasostrict],Drug,RxNorm,Branded Drug,S,1593738,12/1/2014,12/31/2099
35202043,1 ML vasopressin (USP) 20 UNT/ML Injection [Vasostrict],Drug,RxNorm,Quant Branded Drug,S,2103184,12/3/2018,12/31/2099
46275916,1 ML epinephrine 1 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1660014,9/8/2015,12/31/2099
1594382,NDA020800 0.3 ML epinephrine 1 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,1870230,8/7/2017,12/31/2099
40169309,NDA020800 0.3 ML epinephrine 1 MG/ML Auto-Injector [Adrenaclick],Drug,RxNorm,Branded Drug,S,891438,1/31/2010,12/31/2099
46287545,1 ML phenylephrine hydrochloride 10 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1666372,10/5/2015,12/31/2099
1594368,NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,1870207,8/7/2017,12/31/2099
19040856,4 ML norepinephrine 1 MG/ML Injection [Levophed],Drug,RxNorm,Quant Branded Drug,S,209217,1/1/1970,12/31/2099
44814533,epinephrine 1 MG/ML Injectable Solution [Adrenalin],Drug,RxNorm,Branded Drug,S,1490057,4/7/2014,12/31/2099
40072394,norepinephrine Injectable Solution,Drug,RxNorm,Clinical Drug Form,S,373112,1/1/1970,12/31/2099
42873645,NDA201739 0.3 ML epinephrine 1 MG/ML Auto-Injector [Auvi-Q],Drug,RxNorm,Branded Drug,S,1305269,9/4/2012,12/31/2099
35606564,250 ML dopamine hydrochloride 1.6 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743877,5/2/2016,12/31/2099
19123434,epinephrine 1 MG/ML Injectable Solution [Twinject],Drug,RxNorm,Branded Drug,S,616392,4/2/2006,12/31/2099
46287547,1 ML phenylephrine hydrochloride 10 MG/ML Injection [Vazculep],Drug,RxNorm,Quant Branded Drug,S,1666374,10/5/2015,12/31/2099
40087301,vasopressin (USP) Injectable Solution,Drug,RxNorm,Clinical Drug Form,S,374283,1/1/1970,12/31/2099
35782395,10 ML Phenylephrine 0.1 MG/ML Injectable Solution,Drug,RxNorm Extension,Quant Clinical Drug,S,OMOP2783856,8/24/2017,12/31/2099
1344244,NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen],Drug,RxNorm,Branded Drug,S,727347,9/2/2007,12/31/2099
42799685,250 ML dopamine hydrochloride 3.2 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1292887,6/4/2012,12/31/2099
45776267,phenylephrine hydrochloride 10 MG/ML Injectable Solution [Vazculep],Drug,RxNorm,Branded Drug,S,1542385,12/1/2014,12/31/2099
35202042,1 ML vasopressin (USP) 20 UNT/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2103182,12/3/2018,12/31/2099
35603731,norepinephrine Injection,Drug,RxNorm,Clinical Drug Form,S,1745276,5/2/2016,12/31/2099
46287548,phenylephrine hydrochloride 10 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,1666375,10/5/2015,12/31/2099
1337860,dopamine,Drug,RxNorm,Ingredient,S,3628,1/1/1970,12/31/2099
1344242,NDA019430 0.3 ML epinephrine 0.5 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,727316,9/2/2007,12/31/2099
35606558,dopamine Injection,Drug,RxNorm,Clinical Drug Form,S,1743862,5/2/2016,12/31/2099
35606565,dopamine hydrochloride 1.6 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,1743878,5/2/2016,12/31/2099
35606561,250 ML dopamine hydrochloride 0.8 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743869,5/2/2016,12/31/2099
40038600,epinephrine Injectable Solution,Drug,RxNorm,Clinical Drug Form,S,372030,1/1/1970,12/31/2099
43832924,Epinephrine 0.02 MG/ML Injectable Solution,Drug,RxNorm Extension,Clinical Drug,S,OMOP655731,8/24/2017,12/31/2099
35606566,500 ML dopamine hydrochloride 1.6 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743879,5/2/2016,12/31/2099
963889,angiotensin II,Drug,RxNorm,Ingredient,S,1999003,4/2/2018,12/31/2099
40865800,Phenylephrine 0.1 MG/ML Injectable Solution,Drug,RxNorm Extension,Clinical Drug,S,OMOP2063762,8/24/2017,12/31/2099
19076867,epinephrine 0.1 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,310116,1/1/1970,12/31/2099
1344247,NDA019430 0.3 ML epinephrine 0.5 MG/ML Auto-Injector [Epipen],Drug,RxNorm,Branded Drug,S,727386,9/2/2007,12/31/2099
19039813,vasopressin (USP) 20 UNT/ML Injectable Solution [Pitressin],Drug,RxNorm,Branded Drug,S,208841,1/1/1970,12/31/2099
42707287,1 ML phenylephrine hydrochloride 10 MG/ML Injection [Neo-Synephrine],Drug,RxNorm,Quant Branded Drug,S,1232653,5/7/2012,12/31/2099
964321,1 ML angiotensin II 2.5 MG/ML Injection [Giapreza],Drug,RxNorm,Quant Branded Drug,S,1999012,4/2/2018,12/31/2099
19030571,epinephrine 1 MG/ML Injectable Solution [Ana-Guard],Drug,RxNorm,Branded Drug,S,205871,1/1/1970,12/31/2099
35606562,dopamine hydrochloride 0.8 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,1743870,5/2/2016,12/31/2099
21068446,10 ML Epinephrine 0.01 MG/ML Prefilled Syringe,Drug,RxNorm Extension,Quant Clinical Drug,S,OMOP310766,8/24/2017,12/31/2099
40240695,5 ML dopamine hydrochloride 160 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1114874,7/31/2011,12/31/2099
46275919,epinephrine 1 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,1660017,9/8/2015,12/31/2099
964320,1 ML angiotensin II 2.5 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1999007,4/2/2018,12/31/2099
1594379,NDA020800 0.15 ML epinephrine 1 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,1870225,8/7/2017,12/31/2099
35606567,10 ML dopamine hydrochloride 40 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743938,5/2/2016,12/31/2099
37499754,5 ML phenylephrine hydrochloride 0.1 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2262018,5/4/2020,12/31/2099
42873642,NDA201739 0.15 ML epinephrine 1 MG/ML Auto-Injector [Auvi-Q],Drug,RxNorm,Branded Drug,S,1305268,9/4/2012,12/31/2099
42482921,Epinephrine 0.01 MG/ML Prefilled Syringe,Drug,RxNorm Extension,Clinical Drug,S,OMOP420732,8/24/2017,12/31/2099
793160,NDA201739 0.1 ML epinephrine 1 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,1991328,2/5/2018,12/31/2099
793161,NDA201739 0.1 ML epinephrine 1 MG/ML Auto-Injector [Auvi-Q],Drug,RxNorm,Branded Drug,S,1991329,2/5/2018,12/31/2099
1594383,NDA201739 0.15 ML epinephrine 1 MG/ML Auto-Injector,Drug,RxNorm,Clinical Drug,S,1870232,8/7/2017,12/31/2099
35606563,500 ML dopamine hydrochloride 0.8 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,1743871,5/2/2016,12/31/2099
19076896,epinephrine 2 MG/ML Injectable Solution,Drug,RxNorm,Clinical Drug,S,310125,1/1/1970,12/31/2099
793010,0.3 ML epinephrine 1 MG/ML Prefilled Syringe [Symjepi],Drug,RxNorm,Quant Branded Drug,S,1989117,2/5/2018,12/31/2099
40169298,NDA020800 0.15 ML epinephrine 1 MG/ML Auto-Injector [Adrenaclick],Drug,RxNorm,Branded Drug,S,891437,1/31/2010,12/31/2099
793005,0.3 ML epinephrine 1 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,1989112,2/5/2018,12/31/2099
35606568,dopamine hydrochloride 40 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,1743939,5/2/2016,12/31/2099
