Concept Id,Concept Name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date
2314001,"Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; hospital inpatient/observation, each subsequent day",Procedure,CPT4,CPT4,S,94003,7/3/2007,12/31/2099
2314000,"Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; hospital inpatient/observation, initial day",Procedure,CPT4,CPT4,S,94002,7/3/2007,12/31/2099
42738853,"Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; subsequent days (Deprecated)",Procedure,CPT4,CPT4,S,94657,1/1/1970,7/3/2007
2314002,"Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; nursing facility, per day",Procedure,CPT4,CPT4,S,94004,7/3/2007,12/31/2099
42738852,"Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; first day (Deprecated)",Procedure,CPT4,CPT4,S,94656,1/1/1970,7/3/2007
45887795,"Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing",Procedure,CPT4,CPT4 Hierarchy,C,1014859,10/10/2014,12/31/2099
2106564,"Tracheostomy, emergency procedure; transtracheal",Procedure,CPT4,CPT4,S,31603,1/1/1970,12/31/2099
2745440,"Insertion of Endotracheal Airway into Trachea, Percutaneous Approach",Procedure,ICD10PCS,ICD10PCS,S,0BH13EZ,4/22/2014,12/31/2099
2741580,"Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach",Procedure,ICD10PCS,ICD10PCS,S,0B113F4,4/22/2014,12/31/2099
2745444,"Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening",Procedure,ICD10PCS,ICD10PCS,S,0BH17EZ,4/22/2014,12/31/2099
2106642,Transtracheal (percutaneous) introduction of needle wire dilator/stent or indwelling tube for oxygen therapy,Procedure,CPT4,CPT4,S,31730,1/1/1970,12/31/2099
2745447,"Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,ICD10PCS,S,0BH18EZ,4/22/2014,12/31/2099
2745515,"Revision of Tracheostomy Device in Trachea, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,ICD10PCS,S,0BW18FZ,4/22/2014,12/31/2099
2748633,"Insertion of Airway into Mouth and Throat, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,ICD10PCS,S,0CHY8BZ,4/22/2014,12/31/2099
2741582,"Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,ICD10PCS,S,0B114F4,4/22/2014,12/31/2099
2742790,"Insertion of Airway into Nasopharynx, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,ICD10PCS,S,09HN8BZ,4/22/2014,12/31/2099
2742789,"Insertion of Airway into Nasopharynx, Via Natural or Artificial Opening",Procedure,ICD10PCS,ICD10PCS,S,09HN7BZ,4/22/2014,12/31/2099
2745507,"Revision of Tracheostomy Device in Trachea, Via Natural or Artificial Opening",Procedure,ICD10PCS,ICD10PCS,S,0BW17FZ,4/22/2014,12/31/2099
2748632,"Insertion of Airway into Mouth and Throat, Via Natural or Artificial Opening",Procedure,ICD10PCS,ICD10PCS,S,0CHY7BZ,4/22/2014,12/31/2099
2745499,"Revision of Tracheostomy Device in Trachea, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,ICD10PCS,S,0BW14FZ,4/22/2014,12/31/2099
2748582,"Insertion of Airway into Esophagus, Via Natural or Artificial Opening",Procedure,ICD10PCS,ICD10PCS,S,0DH57BZ,4/22/2014,12/31/2099
4143728,Percutaneous tracheostomy,Procedure,SNOMED,Procedure,S,307007002,1/31/2002,12/31/2099
2741578,"Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach",Procedure,ICD10PCS,ICD10PCS,S,0B110F4,4/22/2014,12/31/2099
2745491,"Revision of Tracheostomy Device in Trachea, Percutaneous Approach",Procedure,ICD10PCS,ICD10PCS,S,0BW13FZ,4/22/2014,12/31/2099
2741675,"Revision of Tracheostomy Device in Trachea, External Approach",Procedure,ICD10PCS,ICD10PCS,S,0BW1XFZ,4/22/2014,12/31/2099
2788038,"Respiratory Ventilation, Greater than 96 Consecutive Hours",Procedure,ICD10PCS,ICD10PCS,S,5A1955Z,4/22/2014,12/31/2099
2745483,"Revision of Tracheostomy Device in Trachea, Open Approach",Procedure,ICD10PCS,ICD10PCS,S,0BW10FZ,4/22/2014,12/31/2099
2741588,"Change Endotracheal Airway in Trachea, External Approach",Procedure,ICD10PCS,ICD10PCS,S,0B21XEZ,4/22/2014,12/31/2099
2741589,"Change Tracheostomy Device in Trachea, External Approach",Procedure,ICD10PCS,ICD10PCS,S,0B21XFZ,4/22/2014,12/31/2099
2788036,"Respiratory Ventilation, Less than 24 Consecutive Hours",Procedure,ICD10PCS,ICD10PCS,S,5A1935Z,4/22/2014,12/31/2099
2106563,"Tracheostomy, planned (separate procedure); younger than 2 years",Procedure,CPT4,CPT4,S,31601,1/1/1970,12/31/2099
765576,Orotracheal intubation using bougie device,Procedure,SNOMED,Procedure,S,4.50601E+14,3/1/2016,12/31/2099
2788037,"Respiratory Ventilation, 24-96 Consecutive Hours",Procedure,ICD10PCS,ICD10PCS,S,5A1945Z,4/22/2014,12/31/2099
37116689,Insertion of endotracheal ventilation catheter,Procedure,SNOMED,Procedure,S,733496000,7/31/2017,12/31/2099
2106565,"Tracheostomy, emergency procedure; cricothyroid membrane",Procedure,CPT4,CPT4,S,31605,1/1/1970,12/31/2099
2788035,"Respiratory Ventilation, Single, Nonmechanical",Procedure,ICD10PCS,ICD10PCS,S,5A19054,4/22/2014,12/31/2099
4055376,High frequency positive pressure ventilation,Procedure,SNOMED,Procedure,S,243153009,1/31/2002,12/31/2099
2106567,"Tracheostomy, fenestration procedure with skin flaps",Procedure,CPT4,CPT4,S,31610,1/1/1970,12/31/2099
44808555,Provision of mechanical ventilator,Procedure,SNOMED,Procedure,S,8.59311E+14,4/1/2013,12/31/2099
4080957,Endotracheal respiratory assistance,Procedure,SNOMED,Procedure,S,182686001,1/31/2002,12/31/2099
2106469,"Intubation, endotracheal, emergency procedure",Procedure,CPT4,CPT4,S,31500,1/1/1970,12/31/2099
2106562,"Tracheostomy, planned (separate procedure)",Procedure,CPT4,CPT4,S,31600,1/1/1970,12/31/2099
40487536,Intubation of respiratory tract,Procedure,SNOMED,Procedure,S,447996002,7/31/2011,12/31/2099
4337047,Insertion of tracheostomy tube,Procedure,SNOMED,Procedure,S,232685002,1/31/2002,12/31/2099
4336916,Attention to tracheostomy,Procedure,SNOMED,Procedure,S,232613003,1/31/2002,12/31/2099
4331311,Changing tracheostomy tube,Procedure,SNOMED,Procedure,S,2267008,1/31/2002,12/31/2099
4065590,Permanent tracheostomy,Procedure,SNOMED,Procedure,S,21619009,1/31/2002,12/31/2099
4230167,Artificial respiration,Procedure,SNOMED,Procedure,S,40617009,1/31/2002,12/31/2099
2106667,Revision of tracheostomy scar,Procedure,CPT4,CPT4,S,31830,1/1/1970,12/31/2099
4202832,Intubation,Procedure,SNOMED,Procedure,S,52765003,1/31/2002,12/31/2099
38001054,Respiratory system diagnosis w ventilator support <96 hours,Observation,DRG,MS-DRG,S,208,10/1/2007,12/31/2099
2108680,Head of bed elevation (30-45 degrees) on first ventilator day ordered (CRIT),Observation,CPT4,CPT4,S,4167F,4/6/2009,12/31/2099
38001053,Respiratory system diagnosis w ventilator support 96+ hours,Observation,DRG,MS-DRG,S,207,10/1/2007,12/31/2099
4168966,Endotracheal tube present,Observation,SNOMED,Clinical Finding,S,419991009,1/31/2006,12/31/2099
4353715,Ventilator finding,Observation,SNOMED,Clinical Finding,S,250870006,1/31/2002,12/31/2099
3007397,Ventilator type,Observation,LOINC,Clinical Observation,S,20125-1,1/1/1970,12/31/2099
4108138,Ventilator rate,Observation,SNOMED,Observable Entity,S,250876000,1/31/2002,12/31/2099
