"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Non-traumatic hemorrhage of subarachnoid space from right vertebral artery","291491000119108",37170694,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-06-30
"Asymptomatic stenosis of basilar artery","1204164005",37163032,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-03-31
"Thrombosis transverse sinus","192761004",4105338,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Occlusion of left middle cerebral artery","329491000119109",42535509,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Occlusion of right cilioretinal artery","16279401000119108",3657872,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Monoplegia of leg complicating stroke","5500001000004109",3181146,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Familial cerebral saccular aneurysm","703226008",45766128,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Neonatal cerebral ischemia","206576006",4049043,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Asymptomatic occlusion of posterior cerebral artery","703205008",45766108,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Occlusion of right posterior communicating artery","1153607003",607564,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Paraplegia as sequela of cerebrovascular accident","12367511000119101",42534989,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Cerebrovascular accident due to occlusion of left cerebellar artery","16024151000119105",42535148,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Rolandic vein occlusion syndrome","23808003",4031946,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Ruptured aneurysm of left posterior communicating artery","734880004",42536193,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Aneurysm of anterior communicating artery","783418004",37204666,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Late effects of cerebral ischemic stroke","723083001",36716860,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Right pontine cerebrovascular accident","11840001000004104",3174415,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
