"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Thunderstorm asthma","829976001",3661412,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Chronic interstitial lung disease","434301000124102",762964,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-03-01
"GIP - Giant cell interstitial pneumonitis","192658007",4103099,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Drug-induced interstitial lung disorder","196051003",4112813,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Kartagener syndrome","42402006",4173466,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Uncontrolled asthma","1290026000",1244553,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-09-01
"Pancreatic insufficiency due to cystic fibrosis of pancreas","707450006",45768915,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Pulmonary hypertension due to hematological disorder","697917003",44782564,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Digestive system manifestation co-occurrent and due to cystic fibrosis","707536003",45768983,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Massive silicotic fibrosis of lung","40640008",4230447,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Giant bullous emphysema","16003001",4050961,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute severe exacerbation of moderate persistent asthma","707980005",45769351,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Acute severe exacerbation of asthma","708090002",45769438,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Acute exacerbation of bronchiectasis","445378003",40483342,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2010-07-31
"Inflammation of bronchus caused by Aspergillus","445058002",40482019,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2010-07-31
"Pulmonary arterial hypertension associated with chronic hemolytic anemia","697908003",44783626,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Diabetes mellitus due to cystic fibrosis","427089005",4144583,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Acute severe exacerbation of immunoglobin E-mediated allergic asthma","708095007",45769442,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Obstructive emphysema","16846004",4056405,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Severe chronic obstructive pulmonary disease","313299006",4209097,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Lymphoid interstitial pneumonia","44274007",4195014,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Atrophic fibrosis of lung","13274008",4027868,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Pulmonary hypertension in Langerhans cell histiocytosis","697922003",44782565,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Chronic drug-induced interstitial lung disorders","196053000",4112814,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Congenital cystic bronchiectasis","233627004",4050875,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Persistent asthma, well controlled","901000119100",764949,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-09-01
