"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Single coronary artery fistula","253721001",4108875,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Obliterative coronary artery disease","420006002",4168972,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-01-31
"Stenosis of proximal portion of circumflex branch of left coronary artery","1255256006",37165619,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Stenosis of right coronary artery","876856005",604296,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Coronary artery disease due to type 1 diabetes mellitus","16891191000119108",609191,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Iatrogenic coronary artery fistula","703386009",45766267,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Coronary graft stenosis","251024009",4108172,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Occlusion of proximal portion of right coronary artery","868215007",3655755,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Coronary artery fistula with dilatation of entire coronary artery","461425003",43021619,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Arteriosclerosis of coronary artery bypass graft of transplanted heart","444855007",40481132,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2010-07-31
"Coronary artery fistula","373093003",4160782,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Arteriosclerosis of arterial coronary artery bypass graft","442421004",40483189,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Stenosis of mid portion of right coronary artery","1254658009",37165360,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Coronary artery fistula to left ventricle","373094009",4188546,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Acute dissection of coronary artery","1204153007",37163021,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-02-28
"Atherosclerosis of coronary artery without angina pectoris","451041000124103",764123,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-09-01
"Stenosis of septal branch of anterior descending branch of left coronary artery","1254665001",37165367,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Coronary artery occlusion due to neoplastic disease","703356002",45766238,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Bifurcation lesion of coronary artery","371894001",4161997,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Single coronary vessel disease","194842008",4111393,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Stenosis of posterior lateral branch of right coronary artery","1254661005",37165363,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Lipid-rich atherosclerosis of coronary artery","451361000124102",764149,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-09-01
"Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty","429245005",4178622,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-01-31
"Trifurcation lesion of coronary artery","441024003",4208928,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-01-31
"Arteriosclerosis of autologous arterial coronary artery bypass graft with angina","15960781000119108",761735,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-09-01
"Stenosis of distal portion of circumflex branch of left coronary artery","1255258007",37165621,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Rupture of coronary artery co-occurrent and due to aneurysm of coronary artery","735566005",42536629,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Stenosis of mid segment of left coronary artery main stem","1255622006",37165744,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Atherosclerosis of autologous coronary artery bypass graft","724431008",37110242,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Furcation lesion of coronary artery","440444007",4258690,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-01-31
"Coronary thrombosis not resulting in myocardial infarction","194821006",4108215,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Occlusion of distal left anterior descending coronary artery","840315000",3654821,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Arteriosclerosis of autologous vein coronary artery bypass graft with angina","15960581000119102",35615052,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Occlusion of proximal left anterior descending coronary artery","840310005",3654819,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Coronary artery stenosis","233970002",4119613,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Disorder of coronary artery","414024009",4187067,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2005-01-31
"Calcification of coronary artery","445512009",40483833,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2010-07-31
"Triple vessel disease of the heart","233817007",4124682,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Occlusion of septal branch of anterior descending branch of left coronary artery","840679006",3655070,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Coronary artery thrombosis","398274000",4134723,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Stenosis of diagonal branch of anterior descending branch of left coronary artery","1254664002",37165366,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Perforation of coronary artery co-occurrent and due to aneurysm of coronary artery","735565009",42536628,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Coronary fistulae from right ventricle","253723003",4109488,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Occlusion of posterior lateral branch of right coronary artery","868223009",3655760,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Occlusion of circumflex branch of left coronary artery","896690007",604426,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Primary triglyceride deposit cardiomyovasculopathy","1279844009",37168357,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-04-30
