"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Dementia due to rheumatological disease","1259661008",37166513,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Dementia due to niacin deficiency","1186881003",37162181,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-11-30
"Primary degenerative dementia of the Alzheimer type, presenile onset in remission","698955006",44782941,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Progression of Alzheimer's disease","OMOP5166165",1340510,"Condition","OMOP Extension","Disorder","S",NA,2099-12-31,2022-05-06
"Dementia due to prion disease","762350007",42538609,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Primary degenerative dementia","22381000119105",43020444,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Dementia co-occurrent with human immunodeficiency virus infection","713844000",37017549,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Psychoactive substance-induced organic dementia","111480006",4009647,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia associated with normal pressure hydrocephalus","698625002",44784473,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Dementia paralytica juvenilis","82959004",4307791,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia associated with another disease","191519005",374888,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Primary degenerative dementia of the Alzheimer type, senile onset","416975007",4220313,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2005-07-31
"Dementia due to vitamin E deficiency","1186877003",37162177,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-11-30
"Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia","16219201000119101",37117145,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Uncomplicated senile dementia","191449005",375791,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia due to Whipple disease","1259513009",37166376,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Dementia caused by volatile inhalant","788898005",37311999,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Dementia due to obstructive hydrocephalus","1259675001",37166526,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"General paresis - neurosyphilis","51928006",377788,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Post-traumatic dementia with behavioral change","698687007",44784521,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Dementia in remission","698949001",44782935,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Traumatic encephalopathy","230282000",4047745,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia caused by heavy metal exposure","733184002",37116464,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Dementia due to autoimmune encephalitis","1259586006",37166443,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Dementia due to Pick's disease","21921000119103",44782710,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Dementia due to hypertensive encephalopathy","1259531005",37166393,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Dementia due to Hashimoto encephalopathy","1259471003",37166338,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Hallucinations co-occurrent and due to late onset dementia","2421000119107",37109222,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Pick's disease with Pick cells and no Pick bodies","230272001",4044049,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Vascular dementia in remission","698948009",44782934,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"ADan amyloidosis","783258000",37204554,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Vascular dementia without behavioral disturbance","16276361000119109",37109056,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Frontotemporal dementia due to FUS mutation","1260355006",37166907,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-02-28
"Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia","59651006",4245766,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia due to primary malignant neoplasm of brain","733190003",37116465,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein","1156789004",608051,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Subcortical vascular dementia","230286002",4047747,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Multi-infarct dementia, uncomplicated","70936005",377254,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia due to metastatic malignant neoplasm to brain","1259492003",37166357,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Presenile dementia with depression","191455000",377527,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"High level Alzheimers neuropathology changes","481311000004107",3184947,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2019-08-15
"Dementia due to kuru","1259501004",37166366,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-01-31
"Vascular dementia","429998004",443605,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium","65096006",4277746,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dementia due to infectious disease","724777003",37119154,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
