"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Nodular type diabetic glomerulosclerosis","63510008",4270049,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Neuropathy due to diabetes mellitus","230572002",4044391,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Type II diabetes mellitus with multiple complications","83081000000102",3522930,"Observation","SNOMED","Undefined",NA,"U",2004-01-31,2004-01-31
"Retinopathy due to diabetes mellitus","4855003",4174977,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Disorder of nervous system due to type 1 diabetes mellitus","421468001",377821,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Coronary artery disease due to type 1 diabetes mellitus","16891191000119108",609191,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Type 2 diabetes mellitus with peripheral angiopathy","314902007",4200875,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hyperlipidemia due to type 1 diabetes mellitus","137941000119106",45757432,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Early exacerbation of retinopathy due to diabetes mellitus","OMOP5165888",1340233,"Condition","OMOP Extension","Disorder","S",NA,2099-12-31,2022-05-06
"End stage renal disease on dialysis due to drug induced diabetes mellitus","368471000119109",601166,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Peripheral circulatory disorder due to type 1 diabetes mellitus","421365002",318712,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Hypoglycemic coma due to type 1 diabetes mellitus","421437000",4228112,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Chronic kidney disease due to type 1 diabetes mellitus","96441000119101",45773688,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Nonproliferative retinopathy of left eye due to diabetes mellitus type 2","16745131000119100",609096,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Loss of hypoglycemic warning due to diabetes mellitus","170766006",4016047,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nonproliferative retinopathy of right eye due to diabetes mellitus type 2","16745051000119107",609095,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus","128001000119105",45757393,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Mild nonproliferative retinopathy due to secondary diabetes mellitus","368711000119106",37016356,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Bilateral iritis due to diabetes mellitus","768799003",35625724,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Mild nonproliferative retinopathy of right eye due to diabetes mellitus","769183005",35626038,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Disorder of eye due to malnutrition related diabetes mellitus","421256007",4224419,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Wet gangrene of foot due to diabetes mellitus","402864004",4294429,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Severe nonproliferative retinopathy due to diabetes mellitus type 1","138901000119108",765373,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-03-01
"Diabetic ketoacidosis","420422005",443727,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus","399863006",4221962,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Mild nonproliferative retinopathy of left eye due to diabetes mellitus","769184004",35626039,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Neovascular glaucoma due to diabetes mellitus type 1","1196923000",37162627,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-02-28
"Retinopathy due to type 1 diabetes mellitus","420789003",4227210,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus","399870006",4161671,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Diabetic embryopathy","716020005",37396268,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-07-31
"Proliferative retinopathy due to type 1 diabetes mellitus","60971000119101",45763584,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Foot ulcer due to type 2 diabetes mellitus","1521000119100",43530690,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Gastroparesis due to type 2 diabetes mellitus","713703005",37018728,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Iritis due to diabetes mellitus","193489006",4102176,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Skin ulcer of toe due to diabetes mellitus type 2","10656271000119102",46274058,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-07-31
"Proliferative retinopathy with retinal edema due to type 2 diabetes mellitus","97341000119105",45770831,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Abnormal metabolic state due to diabetes mellitus","237620003",4034964,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Retinal edema due to type 1 diabetes mellitus","109171000119104",45757266,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Poorly controlled type I diabetes with neuropathy","10130001000004101",3192955,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Diabetic ulcer of right wrist","20980001000004109",3172958,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Complication due to diabetes mellitus","74627003",442793,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic kidney disease stage 2 due to type 2 diabetes mellitus","741000119101",43531566,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Chronic painful polyneuropathy due to diabetes mellitus","230575000",4044392,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nonproliferative retinopathy of right eye due to diabetes mellitus type 1","16746741000119102",609108,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus","60961000119107",45763583,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Proliferative retinopathy of right eye due to diabetes mellitus type 2","16749661000119102",609119,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Chronic kidney disease stage 4 due to type 2 diabetes mellitus","721000119107",43531577,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Non-ketotic non-hyperosmolar coma due to diabetes mellitus","421966007",4223734,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Chronic kidney disease stage 4 due to drug induced diabetes mellitus","368451000119100",601164,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 1","16745411000119104",609098,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Proliferative retinopathy of left eye due to diabetes mellitus type 2","16747901000119104",609116,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Disorder due to well controlled type 2 diabetes mellitus","201000119106",43531597,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Type 1 diabetes mellitus with arthropathy","314893005",4152858,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Mild nonproliferative retinopathy due to type 2 diabetes mellitus","138911000119106",45757435,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Disorder of nerve co-occurrent and due to type 1 diabetes mellitus","368521000119107",42535539,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Disorder of kidney due to drug induced diabetes mellitus","368201000119100",609309,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 1","16747341000119101",609113,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus","399877009",4290823,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Hypoglycemic coma due to diabetes mellitus","421725003",4226798,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Ketoacidotic coma due to diabetes mellitus","26298008",4095288,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Bilateral proliferative retinopathy due to diabetes mellitus type 2","16748141000119100",609117,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Neuropathic arthropathy due to type 1 diabetes mellitus","71771000119100",45769830,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Neuropathic arthropathy due to diabetes mellitus","201724008",4114427,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Polyneuropathy due to drug induced diabetes mellitus","368251000119101",609310,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Hypoglycemia due to type 2 diabetes mellitus","120731000119103",45757363,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Moderate nonproliferative retinopathy due to type 1 diabetes mellitus","138891000119109",37016180,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Disorder due to type 2 diabetes mellitus","422014003",443732,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Chronic kidney disease stage 4 due to type 1 diabetes mellitus","90751000119109",45769902,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1","16697521000119104",603320,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Disorder of nervous system due to type 2 diabetes mellitus","421326000",376065,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Hypoglycaemic warning good","198131000000101",44789319,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-04-01
"Ischemia of retina due to type 2 diabetes mellitus","104961000119108",45757075,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Non-proliferative retinopathy due to secondary diabetes mellitus","368721000119104",37016357,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Polyneuropathy due to type 2 diabetes mellitus","713706002",37017432,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Diabetic foot ulcer","371087003",4159742,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Ischemic maculopathy due to diabetes mellitus","314014002",4210874,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Microalbuminuric diabetic nephropathy","236499007",4128221,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Asymmetric polyneuropathy due to diabetes mellitus","230576004",4044393,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Pretibial pigmental patches due to diabetes mellitus","62260007",4265913,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Skin ulcer due to diabetes mellitus","422183001",4227657,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Chronic kidney disease stage 1 due to type 1 diabetes mellitus","90721000119101",45773576,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Polyneuropathy due to secondary diabetes mellitus","126571000119107",760979,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-09-01
"Diabetic skin disorder","1251386008",37165200,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Coma due to diabetes mellitus","420662003",443735,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Visually threatening diabetic retinopathy","399871005",4266041,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Severe nonproliferative retinopathy without macular edema due to diabetes mellitus","399873008",4266637,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 2","16746901000119101",609109,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Venous beading of left retina due to diabetes mellitus","770600002",36674766,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Peripheral neuropathy due to type 1 diabetes mellitus","71791000119104",37018566,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Ulcer of foot due to drug induced diabetes mellitus","368181000119101",602349,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 1","16747101000119101",609111,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Diabetic dermopathy","238982009",4033942,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Insulin reactive hypoglycemia due to type 2 diabetes mellitus","84361000119102",45769875,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Cranial nerve palsy due to diabetes mellitus","770095003",35626762,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Ankle ulcer due to type 1 diabetes mellitus","87471000119106",45769891,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Proliferative retinopathy following surgery due to diabetes mellitus","103981000119101",45757065,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Microalbuminuria due to type 2 diabetes mellitus","90781000119102",45769905,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Diabetic ulcer of left great toe","27900001000004101",3178971,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Sensory polyneuropathy due to diabetes mellitus","789585000",37312198,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Retinopathy due to unstable diabetes mellitus type 1","706894000",45770986,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 2","16747141000119104",609112,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Ulcer of forefoot due to type 1 diabetes mellitus","87491000119107",45769892,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Nephropathy due to secondary diabetes mellitus","126551000119103",760978,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-03-01
"Stable treated proliferative retinopathy of right eye due to diabetes mellitus","816961009",37311833,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Bilateral nonproliferative retinopathy due to diabetes mellitus type 2","16747661000119109",609114,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Macroalbuminuric nephropathy due to diabetes mellitus","445170001",40482458,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2010-07-31
"Osteomyelitis due to type 1 diabetes mellitus","72041000119103",45769834,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Ulcer of heel due to diabetes mellitus","789562001",37312207,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Hyperosmolar coma due to drug induced diabetes mellitus","367241000119104",601160,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Erectile dysfunction due to type 2 diabetes mellitus","428007007",4177050,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-01-31
"Nonproliferative retinopathy of left eye due to diabetes mellitus type 1","16745211000119100",609097,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Hyperosmolar coma due to type 2 diabetes mellitus","190331003",201530,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Disorder of nervous system due to diabetes mellitus","422088007",443730,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Nonproliferative retinopathy of right eye due to diabetes mellitus","816178004",37311253,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Complication due to secondary diabetes mellitus","138811000119100",761051,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-03-01
"Ulcer of left foot due to type 2 diabetes mellitus","10660471000119109",36712686,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Peripheral angiopathy due to diabetes mellitus","127014009",4131908,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gangrene due to diabetes mellitus","422275004",4226354,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Coma due to malnutrition-related diabetes mellitus","420996007",4221933,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Motor polyneuropathy due to diabetes mellitus","126535008",4129225,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Stasis ulcer due to type 2 diabetes mellitus","97621000119107",45770832,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Diffuse exudative maculopathy due to diabetes mellitus","314010006",4199039,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nonproliferative retinopathy due to type 2 diabetes mellitus","1551000119108",43530656,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Chronic kidney disease stage 2 due to drug induced diabetes mellitus","368431000119106",601162,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Ulcer of right foot due to type 2 diabetes mellitus","10661671000119102",36712687,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Glaucoma due to type 2 diabetes mellitus","41911000119107",45772019,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Neuropathic ulcer of foot due to type 2 diabetes mellitus","140531000119105",45757450,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Diabetic foot ulcer in remission","1771691000000102",37169959,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-08-02
"Absence of lower limb due to diabetes mellitus","735200002",42536400,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Hypertension in chronic kidney disease due to type 2 diabetes mellitus","71421000119105",45771064,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Diabetic glomerulonephritis","425455002",4137220,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Mixed diabetic ulcer - foot","201252003",4066936,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Lumbosacral radiculoplexus neuropathy due to type 1 diabetes mellitus","427571000",4143857,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Macular edema due to diabetes mellitus","312912001",380097,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Diabetic neurotrophic keratitis","1217674007",37163711,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-05-31
"Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus","232022001",4336000,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Bullosis diabeticorum","48951005",4169240,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Retinal edema due to diabetes mellitus","770323005",35626904,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Renal papillary necrosis due to diabetes mellitus","723074006",36716853,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Type I diabetes mellitus with multiple complications","43561000000108",3522464,"Observation","SNOMED","Undefined",NA,"U",2004-01-31,2004-01-31
"Mixed hyperlipidemia due to type 2 diabetes mellitus","701000119103",43531651,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus","140131000119102",45757447,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Small vessel disease due to type 2 diabetes mellitus","427134009",4142579,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Ulcer of foot due to type 1 diabetes mellitus","164881000119109",45757507,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Diabetic cardiomyopathy","788878000",37312019,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Preulcerative calluses","16320001000004102",3180411,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Nephrotic syndrome due to type 1 diabetes mellitus","71721000119101",45769829,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"End stage renal disease on dialysis due to type 1 diabetes mellitus","90771000119100",45769904,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Moderate nonproliferative diabetic retinopathy of left eye","769186002",35626042,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Cataract of right eye due to diabetes mellitus","768792007",35625717,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Proliferative retinopathy due to type 2 diabetes mellitus","1501000119109",43530685,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Chronic painful neuropathy due to diabetes mellitus","193184006",4105639,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Severe nonproliferative retinopathy due to diabetes mellitus","312905005",376114,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic kidney disease stage 5 due to drug induced diabetes mellitus","368461000119103",601165,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
