"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Exacerbation of diabetes mellitus","OMOP5165961",1340306,"Condition","OMOP Extension","Disorder","S",NA,2099-12-31,2022-05-06
"Lipoatrophic diabetes","127012008",4131907,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Diabetes mellitus, transient neonatal 2","609580007",43531019,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Diabetes mellitus associated with pancreatic disease","51002006",4178452,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Diabetes mellitus due to cystic fibrosis","427089005",4144583,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Diabetes mellitus in neonate small for gestational age","276560009",4079850,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Lipoatrophic diabetes mellitus without complication","112991000000101",44787902,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2004-07-31
"Stimmler syndrome","733072002",37116379,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Muscular atrophy, ataxia, retinitis pigmentosa, and diabetes mellitus","237611007",4034961,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Malnutrition related diabetes mellitus","75524006",4327944,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness","237617006",4034963,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Diabetes mellitus due to structurally abnormal insulin","91352004",4237068,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Maturity-onset diabetes of the young, type 7","609574004",43531015,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Diabetes mellitus, transient neonatal 1","609579009",43531645,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Diabetes mellitus type 1 stage 1","721111000124107",37174264,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-09-01
