"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Congestive heart failure as post-operative complication of non-cardiac surgery","285221000119109",762003,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-09-01
"Primary idiopathic dilated cardiomyopathy","53043001",4203149,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Dilated cardiomyopathy with hypergonadotropic hypogonadism syndrome","719451006",36717720,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Combined oxidative phosphorylation defect type 17","775908005",36678496,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Heart-hand syndrome Slovenian type","721014007",36715371,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Fetal heart failure with myocardial hypertrophy","462174007",43022054,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Systolic heart failure stage C due to ischemic cardiomyopathy","15629741000119102",36712929,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Primary eosinophilic endomyocardial cardiomyopathy","53703001",4204856,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cardiomyopathy due to neuromuscular disorder","471846004",43021902,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Cardiomyopathy due to hypertension","108701000119102",36712757,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Dilated cardiomyopathy due to hemochromatosis","8209004",4219376,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Diastolic heart failure stage C","120891000119109",43021842,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Dilated cardiomyopathy due to protozoan myocarditis","40532006",4225077,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hypertrophic cardiomyopathy without obstruction","195020003",4108236,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Arrhythmogenic left ventricular cardiomyopathy","880040003",618985,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Congestive heart failure as post-operative complication of cardiac surgery","285211000119102",762002,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-09-01
