"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Autosomal dominant spastic paraplegia type 29","733029008",37116352,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Paraplegia as sequela of cerebrovascular accident","12367511000119101",42534989,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Functional paraparesis","724819000",37110547,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Autosomal recessive spastic paraplegia type 71","782726004",37204214,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Autosomal recessive spastic paraplegia type 43","764736001",35608091,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Spastic paraplegia, nephritis, deafness syndrome","733089005",37117747,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Autosomal dominant spastic paraplegia type 3","782670003",37204171,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Autosomal recessive spastic paraplegia type 24","785304005",37205774,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Autosomal dominant spastic paraplegia type 42","763070001",35621814,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Spastic hemiplegia of nondominant side","441722007",40480435,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Allan-Herndon-Dudley syndrome","702327009",45773358,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Autosomal recessive spastic paraplegia type 18","732932004",37116274,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Autosomal dominant spastic paraplegia type 9B","1187466009",37162331,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-01-31
"Autosomal recessive spastic paraplegia type 77","1187506008",37162343,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-01-31
"Pure hereditary spastic paraplegia","230260007",4047741,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Spastic paraplegia, optic atrophy, neuropathy syndrome","725139005",37110771,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Autosomal dominant spastic paraplegia type 6","732949006",37116287,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Autosomal dominant spastic paraplegia type 37","763369007",35622054,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Pure motor lacunar infarction","230699008",4045737,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Facial hemiplegia","32162001",4136090,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Autosomal dominant spastic paraplegia type 31","763068005",35621812,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Autosomal dominant spastic paraplegia type 17","230263009",4043240,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Residual hemiplegia","313434001",4209119,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hemiplegia of dominant side due to and following hemorrhagic cerebrovascular accident","672471000119105",764816,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-09-01
"Autosomal recessive spastic paraplegia type 28","763376002",35622061,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Paralytic syndrome of dominant side as late effect of stroke","430959006",443609,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Spinal hemiplegia","55637002",4208096,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Infantile ascending hereditary spastic paralysis","703543005",45766395,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Autosomal recessive spastic paraplegia type 56","783764008",37204846,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Cerebral paraplegia","48662007",4168935,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Flaccid hemiplegia of right nondominant side","294071000119100",42535478,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Hemiplegia of right dominant side","294121000119100",42535482,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"MT-ATP6-related mitochondrial spastic paraplegia","778048001",36680600,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Autosomal recessive spastic paraplegia type 25","732933009",37116275,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"X-linked spastic paraplegia type 34","763370008",35622055,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Autosomal dominant spastic paraplegia type 38","783622001",37204738,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Autosomal recessive spastic paraplegia type 78","1177168007",37161206,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-10-31
"Flaccid hemiplegia of dominant side","442020005",40481757,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Autosomal dominant spastic paraplegia type 9A","1187465008",37162330,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-01-31
"Autosomal recessive spastic paraplegia type 53","723823004",37118979,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Spastic hemiplegia of right dominant side","290481000119100",42535406,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Autosomal recessive spastic paraplegia type 57","723826007",37109887,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Acute paraplegia","698291007",44784249,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Autosomal recessive spastic paraplegia type 70","770724001",36674868,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Autosomal recessive hereditary spastic paraplegia","1187279003",37162299,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-01-31
"Laryngeal hemiplegia","84160009",4222487,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Flaccid hemiplegia of nondominant side","442077006",40481820,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Flaccid hemiplegia of right dominant side","294061000119106",42539286,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Flaccid hemiplegia of left nondominant side","294051000119109",42535477,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Paralytic syndrome of nondominant side as late effect of stroke","430947007",443599,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Autosomal recessive spastic paraplegia type 54","723824005",37109885,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Hemiparesis of left side of face","1052243006",605319,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Cerebral paraparesis","89437009",4231447,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Incomplete paraplegia","290411000119106",43530719,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Hereditary spastic paraplegia","39912006",192901,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Autosomal recessive spastic paraplegia type 61","726611001",37111582,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Left hemiparesis","278287000",4081504,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
