"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Herpes zoster with AIDS (acquired immunodeficiency syndrome)","422127002",4227539,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Human immunodeficiency virus infection with cognitive impairment","15928141000119107",36687122,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Acute HIV infection","111880001",4008081,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Disseminated atypical infection caused by Mycobacterium co-occurrent with human immunodeficiency virus infection","713967004",37017655,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Gastrointestinal malabsorption syndrome co-occurrent with human immunodeficiency virus infection","713505000",37017261,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Pneumonia with AIDS (acquired immunodeficiency syndrome)","421671002",4228277,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Human immunodeficiency virus myopathy","240103002",4347288,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Infection caused by Coccidia co-occurrent with acquired immunodeficiency syndrome","771119002",36674252,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Dementia co-occurrent with human immunodeficiency virus infection","713844000",37017549,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Malignant neoplasm with AIDS (acquired immunodeficiency syndrome)","422282000",4226357,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Acquired immunodeficiency syndrome-associated disorder","420721002",4221489,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Radiculitis with AIDS (acquired immunodeficiency syndrome)","420658009",4227072,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Subacute adenoviral encephalitis co-occurrent with human immunodeficiency virus infection","713260006",37017071,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Infection caused by Cytomegalovirus co-occurrent with human immunodeficiency virus infection","713722001",37017446,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Disorder of peripheral nervous system co-occurrent with human immunodeficiency virus infection","713527009",37017279,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Anemia co-occurrent with human immunodeficiency virus infection","713349004",37017132,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Encephalomyelitis with AIDS (acquired immunodeficiency syndrome)","422089004",4228612,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Progressive multifocal leukoencephalopathy with AIDS (acquired immunodeficiency syndrome)","420554003",4226631,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Encephalitis with AIDS (acquired immunodeficiency syndrome)","420244003",4222250,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with malaria","735522008",42536591,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Candidiasis of mouth with AIDS (acquired immunodeficiency syndrome)","421710003",4226792,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Hyperhidrosis with AIDS (acquired immunodeficiency syndrome)","422194002",4228760,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Persistent generalized lymphadenopathy","95892003",4320032,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Infectious gastroenteritis co-occurrent with human immunodeficiency virus infection","713570009",37017318,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Infection caused by Strongyloides co-occurrent with human immunodeficiency virus infection","713339002",37017124,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Hemophagocytic syndrome with human immunodeficiency virus infection","713444005",37017209,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Primary lymphoma of brain with AIDS (acquired immunodeficiency syndrome)","421283008",4227969,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Human immunodeficiency virus enteropathy","235726002",4340791,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Mycobacteriosis with AIDS (acquired immunodeficiency syndrome)","420818005",4221607,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Disorder of respiratory system co-occurrent with human immunodeficiency virus infection","713484001",37017244,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Microsporidiosis co-occurrent with human immunodeficiency virus infection","713881001",37017580,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
