"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Postpartum pre-existing essential hypertension","40511000119107",45757787,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Malignant hypertensive end stage renal disease","285841000119104",43020455,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Chronic hypertensive uremia","78544004",4302748,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Essential hypertension complicating AND/OR reason for care during childbirth","18416000",4083723,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cardiomyopathy due to hypertension","108701000119102",36712757,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Chronic kidney disease stage 1 due to hypertension","117681000119102",44782703,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2012-09-01
"Hypertensive optic neuropathy","421731000",4228419,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus","128001000119105",45757393,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Hypertensive renal disease complicating AND/OR reason for care during puerperium","57873008",4240080,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth","1474004",4032790,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hypertensive heart and chronic kidney disease","8501000119104",44784621,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Hypertensive choroidopathy","422001004",4227517,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-07-31
"Benign hypertensive heart disease","36221001",4263504,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic kidney disease due to benign hypertension","284961000119106",46270353,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-07-31
"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered","198951008",200157,"Condition","SNOMED","Disorder",NA,"D",2023-01-31,2002-01-31
"Hypertensive heart AND chronic kidney disease stage 1","96751000119106",44784640,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Chronic kidney disease stage 3 due to hypertension","129171000119106",44782691,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2012-09-01
"Hypertensive heart disease with congestive heart failure","5148006",314378,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hypertensive left ventricular hypertrophy","428163005",4322893,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-01-31
"Hypertensive heart disease complicating AND/OR reason for care during puerperium","34273003",4145746,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
