"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Migration of peritoneal dialysis catheter","236563004",4126451,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Renal disease in pregnancy AND/OR puerperium without hypertension","75150001",192679,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Malignant hypertensive end stage renal disease","285841000119104",43020455,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Chronic rejection of renal transplant - grade II","236580000",4127552,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Recurrent hematuria co-occurrent and due to diffuse membranous glomerulonephritis","714821006",37018348,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1","949881000000106",46284587,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-04-01
"Unexplained episode of renal transplant dysfunction","277010001",4172368,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic kidney disease stage 1 due to hypertension","117681000119102",44782703,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2012-09-01
"Chronic kidney disease due to type 1 diabetes mellitus","96441000119101",45773688,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Nephrotic syndrome, diffuse membranous glomerulonephritis","197595006",4058841,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus","128001000119105",45757393,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Atypical hemolytic uremic syndrome","789660001",37312165,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Hypertensive renal disease complicating AND/OR reason for care during puerperium","57873008",4240080,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"End stage renal failure on dialysis","236435004",4030520,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hypertensive heart and chronic kidney disease","8501000119104",44784621,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Infection associated with peritoneal dialysis catheter","473069007",43021985,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Infection of peritoneal dialysis catheter","430958003",4330222,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Vascular complication of renal transplant","844661000000109",44809172,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2012-10-01
"CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3","950101000000101",46284593,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-04-01
"Chronic kidney disease due to benign hypertension","284961000119106",46270353,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-07-31
"Renal insufficiency","723188008",36716945,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Chronic kidney disease stage 4","431857002",443612,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Chronic kidney disease stage 2 due to type 2 diabetes mellitus","741000119101",43531566,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Isolated proteinuria with specified morphological lesion, diffuse mesangial proliferative glomerulonephritis","197721009",4055901,"Measurement","SNOMED","Disorder",NA,"D",2023-06-30,2002-01-31
"Chronic kidney disease stage 1 with proteinuria","324121000000109",44792226,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-04-01
"Chronic kidney disease stage 2","431856006",443601,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Primary non-function of renal transplant","236569000",4032294,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
