"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Malignant tumor involving an organ by direct extension from bladder","369594008",4183631,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Metastatic malignant neoplasm to superficial inguinal lymph nodes","94612008",4314055,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Metastasis to pancreas of unknown primary","285614004",4112774,"Condition","SNOMED","Disorder",NA,"U",2023-03-31,2002-01-31
"Metastatic malignant neoplasm to the mesentery","94624001",4314062,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Metastatic malignant neoplasm to brain and spinal cord","188462001",378087,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Metastatic malignant neoplasm to retrocecal tissue","94517007",4315671,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Undifferentiated large cell carcinomatosis","424954002",4310162,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2007-01-31
"Leukemic reticuloendotheliosis of lymph nodes of head, face and neck","188645002",132570,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Metastatic small cell carcinoma to right lung","15956661000119102",608929,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2021-07-31
"Metastatic malignant neoplasm to ilium","94337005",4312019,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Metastasis to small intestine of unknown primary","285609003",4109233,"Condition","SNOMED","Disorder",NA,"U",2023-03-31,2002-01-31
"Metastatic malignant neoplasm to multiple endocrine glands","94417005",4248079,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Malignant tumor involving right ovary by separate metastasis from vagina","369573005",4289523,"Condition","SNOMED","Disorder",NA,"U",2023-03-31,2002-01-31
"Atelectasis AND/OR obstructive pneumonitis of entire lung associated with direct extension of malignant neoplasm","384980008",4294588,"Condition","SNOMED","Clinical Finding","S",NA,2099-12-31,2003-01-31
"Tissue structure invaded by direct extension of primary malignant neoplasm of colon","1220001000004105",3184103,"Observation","Nebraska Lexicon","Observable Entity","S",NA,2099-12-31,2018-01-25
"Metastatic malignant neoplasm to skin of hand","94560003",4314352,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
"Metastatic malignant neoplasm to thyroglossal duct","94633004",4314488,"Condition","SNOMED","Disorder",NA,NA,2099-12-31,2002-01-31
