"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Hematoma and contusion of liver","431674004",443624,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-07-31
"Congenital dilatation of lobar intrahepatic bile duct with obstruction","97961000119108",764977,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-09-01
"Liver subcapsular hematoma due to birth trauma","206242003",4047863,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic nonalcoholic liver disease","79720007",201613,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Toxic hepatitis due to carbamazepine","447961000124105",763865,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-09-01
"Cirrhosis secondary to cholestasis","271440004",4153294,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hepatic fibrosis with hepatic sclerosis","235901004",4340948,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Congenital atrophy of left lobe of liver","204788008",4005461,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Progressive intrahepatic cholestasis","74162007",4253211,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cavernous hemangioma of liver","838311008",3654619,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Bacterial hepatitis","318191000009109",37399734,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-07-31
"Macronodular cirrhosis","43904005",4184779,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic hepatitis C caused by Hepatitis C virus genotype 4","768126006",35625140,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Alpha-1-antitrypsin hepatitis","190944000",4097874,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Fibropolycystic disease of liver","737202006",42537672,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Liver abscess via hepatic artery","197328001",4058690,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic liver disease","328383001",4212540,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic active viral hepatitis","66870002",4283078,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cytomegalovirus hepatitis","186698009",4092685,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cholestatic hepatitis","95556007",4318541,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Secondary biliary cirrhosis","12368000",4046123,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Discoloration of liver","93426003",4247071,"Condition","SNOMED","Clinical Finding","S",NA,2099-12-31,2002-01-31
"Hepatic granulomas in sarcoidosis","197368002",4058697,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Phlebosclerosis of intrahepatic vein","1052210007",602626,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Acute type B viral hepatitis","76795007",197795,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Parenteral nutrition-related hepatitis","276554009",4173182,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Primary biliary cholangitis and/or primary sclerosing cholangitis and autoimmune hepatitis overlap syndrome","1230291009",37164403,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-06-30
"Pipestem portal cirrhosis","197300007",4055211,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Alcoholic fatty liver","50325005",193256,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Liver abscess due to cholangitis","197327006",4055214,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute cholangiohepatitis","370490006",4157033,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Progressive familial intrahepatic cholestasis type 2","1155841005",607718,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Stellate laceration of liver without open wound into abdominal cavity","48303008",4167999,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute hepatitis - non-infective","197271008",4055207,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nodular hyperplasia of liver","109820009",4001168,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Perinatal hepatitis","276551001",4171096,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hepatic fibrosis, renal cyst, intellectual disability syndrome","771149000",36674996,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Viral hepatitis in mother complicating pregnancy","10759151000119101",45757142,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Toxic cirrhosis","123604002",4046016,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Lesion of liver","300331000",4104000,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cirrhosis of liver due to and following cardiac procedure","871619002",3656096,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Hepatocellular dysplasia","396460000",4245953,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Cholangiohepatitis","370489002",4157032,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Chronic hepatitis C with stage 2 fibrosis","703866000",45766656,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Tuberculosis of liver","186273003",4091181,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cavernous hemangioma of liver","9121/0-C22.0",36554604,"Condition","ICDO3","ICDO Condition","S",NA,2099-12-31,2015-09-18
"Syphilitic portal cirrhosis","197305002",4058682,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Liver abscess via umbilicus","197329009",4055215,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute toxic hepatitis","4896000",4169242,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic aggressive viral hepatitis","89789003",4232466,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hepatic sclerosis","235899008",4340394,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Drug-induced cirrhosis of liver","425413006",4143008,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Hepatic veno-occlusive disease with immunodeficiency syndrome","724361001",37110194,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Calculus of intrahepatic bile duct","1162565008",37160510,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-09-30
"Blastomycosis liver","187068005",4093474,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Copper storage associated hepatitis","370492003",4156416,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Exacerbation of viral hepatitis C","OMOP5166154",1340499,"Condition","OMOP Extension","Disorder","S",NA,2099-12-31,2022-05-06
"Joubert syndrome with congenital hepatic fibrosis","721847002",36716035,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Hepatic vein thrombosis","38739001",4301208,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hepatic granulomas in berylliosis","197367007",4026139,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Autoimmune hepatitis type 1","721711009",36715923,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Focal nodular hyperplasia of liver","278527001",4133325,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Minor laceration of liver without open wound into abdominal cavity","65324009",442773,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Liver abscess due to portal pyemia","197326002",4026133,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Liver disease due to cystic fibrosis","427022004",4141669,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Hepatitis in yellow fever","197342009",4055219,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hepatosplenic schistosomiasis caused by Schistosoma haematobium","860856002",3655317,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Hematoma AND contusion of liver with open wound into abdominal cavity","21580006",197134,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Clonorchiasis with biliary cirrhosis","37688005",4292401,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Posthepatitic cirrhosis","27156006",4098583,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Growth retardation, mild developmental delay, chronic hepatitis syndrome","774204006",36676898,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Cirrhosis of liver due to chronic hepatitis C","831000119103",43531723,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Chronic hepatitis C caused by Hepatitis C virus genotype 3","768006009",35625040,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-07-31
"Cardiac portal cirrhosis","266470007",4141628,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Toxic liver disease","197354009",4055224,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Hepatitis due to acquired disseminated toxoplasmosis","17681007",443632,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Mesenchymal hamartoma of liver","715397000",37395823,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-07-31
"Nodular regenerative hyperplasia of liver caused by antiretroviral drug","713698004",37017427,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2016-01-31
"Opisthorchiasis","1059007",444117,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Liver disorder in mother complicating childbirth","10807061000119103",45757190,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"NPHP3-related Meckel-like syndrome","773737004",36674397,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Chronic viral hepatitis B without delta-agent","186639003",439674,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Alcoholic steatohepatitis","1234778004",37164788,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-07-31
"Cirrhosis of liver","19943007",4064161,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nonalcoholic steatohepatitis","442685003",40484532,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Hepatosplenic schistosomiasis caused by Schistosoma japonicum","1163464002",37160802,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-09-30
"Drug-induced chronic hepatitis","235889003",4342774,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Steatohepatitis","442191002",40482277,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Hepatitis caused by sexually transmissible virus","721588008",36715820,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Early cirrhosis","371139006",4159158,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-07-31
"Viral hepatitis in mother complicating childbirth","10759111000119102",45757141,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Congenital cystic disease of liver","72925005",197654,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Liver hematoma","262796008",4096644,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
