"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Acute ST segment elevation myocardial infarction of posterobasal wall","15713201000119105",46273495,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-07-31
"Rupture of chordae tendinae due to and following acute myocardial infarction","194866002",4108219,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Postoperative transmural myocardial infarction","1089441000000103",35610089,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Acute ST segment elevation myocardial infarction of right ventricle","896697005",604430,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-01-31
"Acute myocardial infarction due to left coronary artery occlusion","17531000119105",44782769,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Acute ST segment elevation myocardial infarction due to proximal left circumflex coronary artery occlusion","44851000087107",37172163,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-04-30
"Acute infarction of papillary muscle","10273003",4011131,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Old myocardial infarction","1755008",314666,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Old inferior myocardial infarction","233840006",4121467,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute ST segment elevation myocardial infarction of inferior wall","703213009",45766116,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Old infarct of myocardium of anterolateral region","35411000087108",37171466,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-10-31
"Subsequent ST segment elevation myocardial infarction","703211006",45766114,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Postoperative transmural myocardial infarction of inferior wall","311793000",4209541,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute myocardial infarction of inferolateral wall","65547006",438447,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
