"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Stress ulcer of duodenum","235688009",4342649,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer caused by fungus","724534002",37110319,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Gastrocolic ulcer","24060004",4080599,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Ulcer of intestine due to immunoglobulin A vasculitis","871631000",3656106,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Erosive gastritis","1086791000119100",45757242,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Chronic erosive gastritis","63137003",4271442,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer caused by Helicobacter pylori and non-steroidal anti-inflammatory agent","724519008",37110306,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction","74341002",196442,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Cushing ulcer of duodenum","235689001",4341240,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastric ulcer with hemorrhage, with perforation and with obstruction","85787009",198801,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute duodenal ulcer with hemorrhage","12847006",4027729,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer caused by virus","724533008",37110318,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Chronic gastrojejunal ulcer with hemorrhage and obstruction","90257004",436729,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastrojejunal ulcer without hemorrhage, without perforation AND without obstruction","41626001",438795,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Ulcer of duodenum due to infection","762276009",42538548,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Peptic ulcer","13200003",4027663,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastric ulcer","95530000",4318534,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastrojejunal ulcer with hemorrhage and perforation","45640006",4164920,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction","12384004",24973,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Multiple gastric erosions","235652004",4341235,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Peptic ulcer without hemorrhage AND without perforation","37442009",4291028,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastrojejunal ulcer with perforation","30183003",4147351,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer induced by platelet aggregation inhibitor","840591006",3655003,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-07-31
"Peptic ulcer with obstruction","786068005",37203956,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Eosinophilic duodenal ulcer","717878007",36713516,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Duodenal ulcer caused by Helicobacter pylori","724528009",37110314,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Acute duodenal ulcer with perforation AND obstruction","62936002",434070,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastrojejunal ulcer with perforation AND obstruction","21759003",4069766,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic duodenal ulcer with perforation","49916007",4173408,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Peptic ulcer with hemorrhage but without obstruction","48658001",4169394,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastrojejunal ulcer with hemorrhage but without perforation","59356009",4244406,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastrojejunal ulcer without hemorrhage, without perforation AND without obstruction","77987006",436460,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute peptic ulcer with perforation","79118000",4194543,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer caused by cytomegalovirus","689991000119100",764846,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-03-01
"Gastric ulcer with hemorrhage AND perforation but without obstruction","2066005",4071203,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer caused by non-steroidal anti-inflammatory drug in therapeutic use","129141000119104",45757397,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2015-01-31
"Gastric ulcer with hemorrhage, with perforation and with obstruction","17593008",4069838,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Stress ulcer of stomach","415624002",4188456,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2005-01-31
"Childhood duodenal ulcer","43035002",4182589,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Prepyloric ulcer","22620000",4331322,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastric ulcer with perforation but without obstruction","36246001",197914,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastrojejunal ulcer with perforation","2807004",4101870,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer caused by bacterium","723099007",36716875,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Gastrojejunal ulcer with hemorrhage, with perforation and with obstruction","54798007",4183005,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastrojejunal ulcer with hemorrhage and with perforation but without obstruction","46523000",437326,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastrojejunal ulcer with obstruction","196712004",4024985,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Normopepsinogenemic familial duodenal ulcer","76338009",4296319,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Antral ulcer","4911000119101",45763550,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Curling's ulcer of duodenum","235690005",4342650,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastric ulcer without hemorrhage AND without perforation but with obstruction","81225008",192954,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute duodenal ulcer with hemorrhage but without obstruction","66767006",434402,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer due to parasitic infection","723102007",36716877,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Duodenal ulcer with hemorrhage but without obstruction","35560008",4149010,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Zollinger-Ellison syndrome","53132006",4200399,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer caused by ionizing radiation","723104008",36716879,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Acute duodenal ulcer without hemorrhage AND without perforation but with obstruction","75342000",435859,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute duodenal ulcer without hemorrhage, without perforation AND without obstruction","23693000",440755,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Curling's ulcers","39755000",4217281,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Ulcer of duodenum caused by chemical","724532003",37110317,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Chronic gastrojejunal ulcer","128288009",4028243,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Pyloric ulcer","39204006",4189591,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastrojejunal ulcer","196707000",4024984,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer caused by drug","724529001",37110315,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Acute peptic ulcer with hemorrhage, with perforation AND with obstruction","28945005",194986,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic peptic ulcer with hemorrhage but without obstruction","81518000",30770,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer","397825006",4265600,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Gastrojejunal ulcer with hemorrhage and with perforation but without obstruction","87796008",4336971,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic duodenal ulcer with hemorrhage, with perforation AND with obstruction","86258000",440756,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer due to Zollinger-Ellison syndrome","717891008",36713527,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Peptic ulcer with perforation but without obstruction","12625009",4054392,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute erosion of duodenum","39344002",4214461,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Lymphocytic duodenal ulcer","717879004",36713517,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Chronic duodenal ulcer","128286008",4028242,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastrojejunal ulcer without hemorrhage AND without perforation","2783007",4101104,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastric ulcer","95529005",4319441,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Non-steroidal anti-inflammatory drug induced gastric ulcer","248891000000103",44791257,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-10-02
"Duodenal erosion","235692002",4340230,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic duodenal ulcer with perforation AND obstruction","60551006",439058,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic duodenal ulcer with hemorrhage but without obstruction","62341002",436148,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute duodenal ulcer with hemorrhage AND obstruction","87756006",441062,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute peptic ulcer with perforation AND obstruction","35681000",26718,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer with hemorrhage AND with perforation but without obstruction","15115006",4035167,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic gastrojejunal ulcer with hemorrhage","62838000",433515,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Ulcer of duodenum","51868009",4198381,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic duodenal ulcer with perforation but without obstruction","34602004",432354,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer without hemorrhage AND without perforation","56776001",4209746,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastrojejunal ulcer with hemorrhage but without obstruction","50663005",4179773,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer due to Zollinger-Ellison syndrome","717892001",36717645,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Chronic duodenal ulcer without hemorrhage AND without perforation","40214005",4222896,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer with perforation AND obstruction","77410006",4298227,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastrojejunal ulcer with hemorrhage and obstruction","72408002",441063,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Gastric ulcer with perforation AND obstruction","72486001",198190,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Chronic duodenal ulcer without hemorrhage, without perforation AND without obstruction","57940000",433246,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute duodenal ulcer with perforation but without obstruction","22511002",435578,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Acute gastric ulcer without hemorrhage AND without perforation","67964002",4195231,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Duodenal ulcer caused by Helicobacter pylori and non-steroidal anti-inflammatory agent","724530006",37110316,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Duodenal ulcer caused by ionizing radiation","724531005",37117196,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Acute gastrojejunal ulcer with hemorrhage, with perforation and with obstruction","58711008",442314,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Peptic anastomotic ulcer","717863000",36713503,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
