"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Seropositive rheumatoid arthritis of joint of left shoulder region","318891000119108",601033,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Chronic lupus nephritis","22880001000004107",3184561,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Rheumatoid arthritis of interphalangeal joint of toe","201785007",4114442,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Reactive arthritis after chlamydia trachomatis infection","905421000000104",44811657,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-04-01
"Right foot seropositive rheumatoid arthritis","1073601000119101",605413,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Dermatomyositis","396230008",80182,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Endarteritis deformans","302728008",4120160,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Arthritis of lumbosacral spine","720363008",36714940,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-01-31
"Rheumatoid nodule of right wrist","319991000119106",1246188,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2024-02-01
"Eosinophilic granulomatosis with polyangiitis","82275008",4305666,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Rheumatoid neutrophilic dermatitis","402432002",4299308,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Temporal arteritis","400130008",4290976,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Segmental retinal periarteritis","417544004",4214822,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2005-07-31
"Seropositive rheumatoid arthritis of multiple joints","11055151000119108",37108714,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Reactive arthritis of joint of hand due to and following dysentery","201500003",75619,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Circinate balanitis co-occurrent with reactive arthritis triad","236744002",4126944,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Adult osteochondritis of spine","701003",4289292,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Rheumatoid factor and anti-citrullinated protein antibody positive rheumatoid arthritis","1162313005",37160384,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-09-30
"Reactive arthritis of bilateral elbows","16005871000119103",1245761,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-10-01
"Pyogenic infection of lumbar intervertebral disc","310511000119103",37171005,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-04-30
"Reactive arthritis of distal radioulnar joint","201562009",4067056,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Infantile acute hemorrhagic edema","238806009",4032894,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Exacerbation of polymyalgia rheumatica","OMOP5166093",1340438,"Condition","OMOP Extension","Disorder","S",NA,2099-12-31,2022-05-06
"Rheumatoid nodule of subcutaneous tissue of right foot","1073661000119100",1244137,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2024-02-01
"Arthritis of facet joint of thoracic spine","16426601000119103",37309677,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2020-01-31
"Immunoglobulin G4 related aortitis","1187508009",37162345,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2022-01-31
"Single-level thoracic spondylosis without myelopathy","202666001",4066599,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Systemic sclerosis caused by chemical","443872005",40483692,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2010-01-31
"Lymphoepithelial sialadenitis of Sjögren's syndrome","126766000",4130853,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Poikilodermatomyositis","86365006",4314120,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Lung disease with Sjögren's disease","196137000",4055370,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Rheumatoid arthritis of wrist","201771002",4116441,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Rheumatoid arthritis of sternoclavicular joint","201767000",4116148,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Rheumatoid arthritis of right ankle","1073761000119108",36685021,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-09-01
"Secondary Sjögren's syndrome","239915006",4344163,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Reactive arthritis of joint of left hand","319531000119101",1246174,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2024-02-01
"Systemic rheumatoid vasculitis","1149219001",607145,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Cerebral arteritis due to infectious disease","703311009",45766199,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-07-31
"Isolated nailfold rheumatoid vasculitis","1149218009",607144,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-07-31
"Reactive arthritis of joint of hip due to and following dysentery","1290748003",1244745,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2024-02-01
"Bilateral rheumatoid nodule of subcutaneous tissue of hands","15673521000119101",37209312,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-07-31
"Reactive arthritis of left elbow","319521000119104",1246173,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2023-10-01
"Rheumatoid nodule of left wrist","319911000119102",1246186,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2024-02-01
"Occupational scleroderma","402712002",4291432,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2003-07-31
"Chronic peri-aortitis","257812009",4119999,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Rheumatoid aortitis","38877003",4306357,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Arthropathy in Behcet's syndrome of the spine","427967009",4176931,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2008-01-31
"Seropositive rheumatoid arthritis of right knee","318951000119106",37207807,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-03-01
"Rheumatoid arthritis of right hand","1073791000119101",42534836,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-01-31
"Juvenile reactive arthritis","239807009",4035428,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Felty syndrome with seronegative erosive rheumatoid arthritis","1162362005",37160417,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2021-09-30
