"Concept Name","Concept Code","Concept Id","Domain Id","Vocabulary Id","Concept Class Id","Concept Category","Invalid Reason","Valid End Date","Valid Start Date"
"Acetaminphen abuse","15070001000004101",3190002,"Condition","Nebraska Lexicon","Clinical Finding","S",NA,2099-12-31,2016-01-28
"Harmful use of sedative","1094241000000100",35610541,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Abuse of antidepressant drug","191928000",440992,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Episodic phencyclidine abuse","145841000119107",43020431,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-01-31
"Amphetamine abuse","84758004",432878,"Condition","SNOMED","Disorder",NA,"U",2022-06-30,2002-01-31
"Cannabis hyperemesis syndrome co-occurrent and due to cannabis abuse","11047881000119101",37108712,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2017-07-31
"Harmful use of alcohol","1094151000000108",35610532,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Nondependent amphetamine or psychostimulant abuse, continuous","191924003",4103424,"Condition","SNOMED","Disorder",NA,"U",2022-06-30,2002-01-31
"Abuse of vitamins","280983004",4092159,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nondependent cannabis abuse","191891003",4103419,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Psychoactive substance abuse","91388009",4239381,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Harmful use of vitamins","1094141000000105",35610531,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Nondependent opioid abuse, episodic","191913000",435798,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nondependent mixed drug abuse, episodic","191937000",440694,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nondependent antidepressant type drug abuse, episodic","191931004",434917,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Stimulant abuse","441527004",40479573,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2009-07-31
"Episodic nondependent crack cocaine abuse","204641000000107",44789542,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2006-04-01
"Hypnotic or anxiolytic abuse","231461004",439554,"Condition","SNOMED","Disorder",NA,"U",2022-06-30,2002-01-31
"Harmful use of hypnotic","772999000",36676296,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2019-01-31
"Hallucinogen abuse","74851005",437245,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nondependent alcohol abuse, episodic","191883007",440685,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Nondependent cocaine abuse, continuous","191918009",439796,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Abuse of antacids","280986007",4089921,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Harmful use of cannabis","1094171000000104",35610534,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Nondependent amphetamine or psychostimulant abuse in remission","414874007",4212339,"Condition","SNOMED","Disorder",NA,"U",2022-06-30,2005-01-31
"Abuse of diuretics","280985006",4091716,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Episodic inhalant abuse","427229002",4140733,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2007-07-31
"Alcohol abuse","15167005",433753,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Barbiturate abuse","231462006",436371,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2002-01-31
"Drug abuse in remission","1471000119103",43530681,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2013-07-31
"Nondependent amphetamine or other psychostimulant abuse","268648009",4146716,"Condition","SNOMED","Disorder",NA,"U",2022-06-30,2002-01-31
"Harmful use of herbal medicine","1094101000000107",35610527,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Intravenous nondependent opioid abuse","145121000119106",44782731,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2014-01-31
"Harmful use of laxatives","1094111000000109",35610528,"Condition","SNOMED","Disorder","S",NA,2099-12-31,2018-04-01
"Nondependent amphetamine or psychostimulant abuse, episodic","191925002",4100526,"Observation","SNOMED","Disorder",NA,"U",2022-06-30,2002-01-31
