Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary
905233,108118,mometasone,Ingredient,Standard,"1,116,648","143,831,969",Drug,RxNorm
36219415,1165391,mometasone Inhalant Product,Clinical Dose Group,Classification,0,"96,234,548",Drug,RxNorm
36219416,1165392,mometasone Nasal Product,Clinical Dose Group,Classification,0,"81,814,817",Drug,RxNorm
905240,358793,mometasone furoate 0.05 MG/ACTUAT,Clinical Drug Comp,Standard,0,"81,190,348",Drug,RxNorm
45675455,12df48a0-fd2e-4e1c-b135-e616a1f31f42,"NASONEX - mometasone furoate monohydrate spray, metered",Prescription Drug,Classification,0,"77,245,170",Drug,SPL
46292896,2c84c2ca-0b53-45cd-be10-3e5495cc8e33,"NASONEX - mometasone furoate monohydrate spray, metered",Prescription Drug,Classification,0,"77,245,170",Drug,SPL
45656521,a06f66a9-ca36-48c6-a00d-4f614b539cdf,"NASONEX - mometasone furoate spray, metered",Prescription Drug,Classification,0,"77,245,170",Drug,SPL
42804714,961b1702-5e73-417d-816c-413521582675,"MOMETASONE FUROATE - mometasone furoate spray, metered",Prescription Drug,Classification,0,"77,245,070",Drug,SPL
44359752,48f7ba0d-33e0-163b-2fa0-f85062768fd5,"MOMETASONE FUROATE - mometasone furoate spray, metered",Prescription Drug,Classification,0,"77,245,070",Drug,SPL
44338343,e30ca373-d9c0-4cad-b5c3-3be9c299dddc,"MOMETASONE FUROATE - mometasone furoate spray, metered",Prescription Drug,Classification,0,"77,245,070",Drug,SPL
44362590,91c3f053-546c-443d-a247-38ab38277a98,"MOMETASONE FUROATE - mometasone spray, metered",Prescription Drug,Classification,0,"77,245,070",Drug,SPL
44352970,ff41e901-5a6f-4ad5-be8a-a68eae787e5e,"MOMETASONE FUROATE - mometasone spray, metered",Prescription Drug,Classification,0,"77,245,070",Drug,SPL
44340746,0602c22a-67b7-4708-bdbb-28a69d52d616,"MOMETASONE FUROATE MONOHYDRATE - mometasone furoate monohydrate spray, metered",Prescription Drug,Classification,0,"77,245,070",Drug,SPL
36250096,1797864,mometasone Metered Dose Nasal Spray,Clinical Drug Form,Standard,0,"76,128,522",Drug,RxNorm
36250097,1797865,mometasone furoate 0.05 MG/ACTUAT Metered Dose Nasal Spray,Clinical Drug,Standard,"8,902,064","76,128,422",Drug,RxNorm
19023533,565252,mometasone furoate 0.05 MG/ACTUAT [Nasonex],Branded Drug Comp,Standard,0,"69,183,648",Drug,RxNorm
36250100,1797868,mometasone Metered Dose Nasal Spray [Nasonex],Branded Drug Form,Standard,100,"67,226,458",Drug,RxNorm
36250102,1797870,mometasone furoate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Nasonex],Branded Drug,Standard,"67,226,358","67,226,358",Drug,RxNorm
45111416,85128801,mometasone furoate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Nasonex],11-digit NDC,Non-Standard,"65,864,048","65,864,048",Drug,NDC
36219417,1165393,mometasone Topical Product,Clinical Dose Group,Classification,0,"27,963,092",Drug,RxNorm
1160099,93bbaa09-9817-4855-aaa9-3d955d2bce39,QUINOSONE - mometasone furoate and ammonium lactate kit,Prescription Drug,Classification,0,"27,507,325",Drug,SPL
19099139,358650,mometasone furoate 1 MG/ML,Clinical Drug Comp,Standard,0,"20,138,378",Drug,RxNorm
