Concept Name,Concept Id,Valid Start Date,Invalid Reason,Vocabulary Id,Concept Code,Concept Class Id,Standard Concept,Concept Name,Domain Id,Valid End Date
hydrocortisone; systemic,21602737,1970-01-01,,ATC,H02AB09,ATC 5th,C,hydrocortisone; systemic,Drug,2099-12-31
hydrocortisone; oral,21600036,1970-01-01,,ATC,A01AC03,ATC 5th,C,hydrocortisone; oral,Drug,2099-12-31
hydrocortisone acetate 0.0055 MG/MG,40226630,2010-10-03,,RxNorm,1012219,Clinical Drug Comp,S,hydrocortisone acetate 0.0055 MG/MG,Drug,2099-12-31
hydrocortisone acetate 20 MG/ML,40226541,2010-10-03,,RxNorm,1012232,Clinical Drug Comp,S,hydrocortisone acetate 20 MG/ML,Drug,2099-12-31
hydrocortisone acetate 5 MG/ML,40226550,2010-10-03,,RxNorm,1012234,Clinical Drug Comp,S,hydrocortisone acetate 5 MG/ML,Drug,2099-12-31
hydrocortisone acetate 50 MG/ML,40228300,2010-10-31,,RxNorm,1037327,Clinical Drug Comp,S,hydrocortisone acetate 50 MG/ML,Drug,2099-12-31
hydrocortisone acetate 50 MG/ML [Hydrocortone Acetate],40228303,2010-10-31,,RxNorm,1037329,Branded Drug Comp,S,hydrocortisone acetate 50 MG/ML [Hydrocortone Acetate],Drug,2099-12-31
hydrocortisone 10 MG Oral Tablet [Hydrocortone],19006964,1970-01-01,,RxNorm,105395,Branded Drug,S,hydrocortisone 10 MG Oral Tablet [Hydrocortone],Drug,2099-12-31
hydrocortisone 20 MG Oral Tablet [Hydrocortone],19006965,1970-01-01,,RxNorm,105396,Branded Drug,S,hydrocortisone 20 MG Oral Tablet [Hydrocortone],Drug,2099-12-31
Hydrocortisone 20 MG Oral Tablet [Plenadren],40845203,2017-08-24,,RxNorm Extension,OMOP2043165,Branded Drug,S,Hydrocortisone 20 MG Oral Tablet [Plenadren],Drug,2099-12-31
Hydrocortisone 10 MG/ML [Cutisol],40828821,2017-08-24,,RxNorm Extension,OMOP2026783,Branded Drug Comp,S,Hydrocortisone 10 MG/ML [Cutisol],Drug,2099-12-31
Hydrocortisone 20 MG Oral Tablet Box of 100,40866948,2017-08-24,,RxNorm Extension,OMOP2064910,Clinical Drug Box,S,Hydrocortisone 20 MG Oral Tablet Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 100 by Sanofi,40854568,2017-08-24,,RxNorm Extension,OMOP2052530,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 100 by Sanofi,Drug,2099-12-31
Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50 by Shire,40854569,2017-08-24,,RxNorm Extension,OMOP2052531,Marketed Product,S,Hydrocortisone 5 MG Oral Tablet [Plenadren] Box of 50 by Shire,Drug,2099-12-31
Hydrocortisone 0.00333 MG/ML,40858137,2017-08-24,,RxNorm Extension,OMOP2056099,Clinical Drug Comp,S,Hydrocortisone 0.00333 MG/ML,Drug,2099-12-31
Hydrocortisone 0.0333 MG/ML,40858138,2017-08-24,,RxNorm Extension,OMOP2056100,Clinical Drug Comp,S,Hydrocortisone 0.0333 MG/ML,Drug,2099-12-31
Hydrocortisone 0.001 MG/MG [Alfason],40860120,2017-08-24,,RxNorm Extension,OMOP2058082,Branded Drug Comp,S,Hydrocortisone 0.001 MG/MG [Alfason],Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50,40907295,2017-08-24,,RxNorm Extension,OMOP2105257,Branded Drug Box,S,Hydrocortisone 10 MG Oral Tablet [Hydrocortison Acis] Box of 50,Drug,2099-12-31
Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100,40907303,2017-08-24,,RxNorm Extension,OMOP2105265,Branded Drug Box,S,Hydrocortisone 20 MG Extended Release Oral Tablet [Plenadren] Box of 100,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet Box of 20 by Sanofi,40916776,2017-08-24,,RxNorm Extension,OMOP2114738,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet Box of 20 by Sanofi,Drug,2099-12-31
Hydrocortisone 4 MG/ML,40920407,2017-08-24,,RxNorm Extension,OMOP2118369,Clinical Drug Comp,S,Hydrocortisone 4 MG/ML,Drug,2099-12-31
Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100 by DermaPharm,40885884,2017-08-24,,RxNorm Extension,OMOP2083846,Marketed Product,S,Hydrocortisone 10 MG Oral Tablet [Hydrocutan] Box of 100 by DermaPharm,Drug,2099-12-31
hydrocortisone acetate 100 MG/ML,45774728,2014-12-01,,RxNorm,1545171,Clinical Drug Comp,S,hydrocortisone acetate 100 MG/ML,Drug,2099-12-31
hydrocortisone acetate 15 MG/ML,45776722,2014-12-01,,RxNorm,1549473,Clinical Drug Comp,S,hydrocortisone acetate 15 MG/ML,Drug,2099-12-31
hydrocortisone 10 MG Oral Tablet,975168,1970-01-01,,RxNorm,197782,Clinical Drug,S,hydrocortisone 10 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 20 MG Oral Tablet,975169,1970-01-01,,RxNorm,197783,Clinical Drug,S,hydrocortisone 20 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 5 MG Oral Tablet,975193,1970-01-01,,RxNorm,197787,Clinical Drug,S,hydrocortisone 5 MG Oral Tablet,Drug,2099-12-31
hydrocortisone 4 MG Oral Tablet,19021571,1970-01-01,,RxNorm,199320,Clinical Drug,S,hydrocortisone 4 MG Oral Tablet,Drug,2099-12-31
hydrocortisone probutate 1 MG/ML,43014077,2013-03-04,,RxNorm,1370745,Clinical Drug Comp,S,hydrocortisone probutate 1 MG/ML,Drug,2099-12-31
hydrocortisone butyrate 0.001 MG/MG,43013655,2013-03-04,,RxNorm,1370757,Clinical Drug Comp,S,hydrocortisone butyrate 0.001 MG/MG,Drug,2099-12-31
hydrocortisone butyrate 1 MG/ML,43013659,2013-03-04,,RxNorm,1370762,Clinical Drug Comp,S,hydrocortisone butyrate 1 MG/ML,Drug,2099-12-31
hydrocortisone butyrate 1 MG/ML [Locoid],43013666,2013-03-04,,RxNorm,1370764,Branded Drug Comp,S,hydrocortisone butyrate 1 MG/ML [Locoid],Drug,2099-12-31
