concept_name,concept_id,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id,valid_end_date
hydrocortisone acetate 50 MG/ML,40228300,2010-10-31,,RxNorm,1037327,Clinical Drug Comp,S,hydrocortisone acetate 50 MG/ML,Drug,2099-12-31
hydrocortisone acetate 50 MG/ML Injectable Suspension,40228301,2010-10-31,,RxNorm,1037328,Clinical Drug,S,hydrocortisone acetate 50 MG/ML Injectable Suspension,Drug,2099-12-31
hydrocortisone acetate 50 MG/ML [Hydrocortone Acetate],40228303,2010-10-31,,RxNorm,1037329,Branded Drug Comp,S,hydrocortisone acetate 50 MG/ML [Hydrocortone Acetate],Drug,2099-12-31
hydrocortisone acetate 50 MG/ML Injectable Suspension [Hydrocortone Acetate],40228302,2010-10-31,,RxNorm,1037330,Branded Drug,S,hydrocortisone acetate 50 MG/ML Injectable Suspension [Hydrocortone Acetate],Drug,2099-12-31
hydrocortisone sodium phosphate 50 MG/ML,40228390,2010-10-31,,RxNorm,1037337,Clinical Drug Comp,S,hydrocortisone sodium phosphate 50 MG/ML,Drug,2099-12-31
hydrocortisone sodium phosphate 50 MG/ML Injectable Solution,40228391,2010-10-31,,RxNorm,1037338,Clinical Drug,S,hydrocortisone sodium phosphate 50 MG/ML Injectable Solution,Drug,2099-12-31
hydrocortisone sodium phosphate 50 MG/ML [Hydrocortone Phosphate],40228393,2010-10-31,,RxNorm,1037339,Branded Drug Comp,S,hydrocortisone sodium phosphate 50 MG/ML [Hydrocortone Phosphate],Drug,2099-12-31
hydrocortisone sodium phosphate 50 MG/ML Injectable Solution [Hydrocortone Phosphate],40228392,2010-10-31,,RxNorm,1037340,Branded Drug,S,hydrocortisone sodium phosphate 50 MG/ML Injectable Solution [Hydrocortone Phosphate],Drug,2099-12-31
hydrocortisone 10 MG/ML [Scalpicin Itch Relief],40231136,2010-12-05,,RxNorm,1039271,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Scalpicin Itch Relief],Drug,2099-12-31
hydrocortisone acetate 10 MG/ML [Vagisil Satin],40230688,2010-12-05,,RxNorm,1039351,Branded Drug Comp,S,hydrocortisone acetate 10 MG/ML [Vagisil Satin],Drug,2099-12-31
hydrocortisone 10 MG/ML [Maximum-H],40231134,2010-12-05,,RxNorm,1039921,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Maximum-H],Drug,2099-12-31
hydrocortisone 10 MG/ML [Beta-HC],40231132,2010-12-05,,RxNorm,1043072,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Beta-HC],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Rectacreme],40230690,2010-12-05,,RxNorm,1045563,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Rectacreme],Drug,2099-12-31
hydrocortisone 10 MG/ML [Keratol HC],40232617,2011-01-02,,RxNorm,1050229,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Keratol HC],Drug,2099-12-31
hydrocortisone 10 MG Oral Tablet [Hydrocortone],19006964,1970-01-01,,RxNorm,105395,Branded Drug,S,hydrocortisone 10 MG Oral Tablet [Hydrocortone],Drug,2099-12-31
hydrocortisone 20 MG Oral Tablet [Hydrocortone],19006965,1970-01-01,,RxNorm,105396,Branded Drug,S,hydrocortisone 20 MG Oral Tablet [Hydrocortone],Drug,2099-12-31
hydrocortisone 100 MG/ML Injectable Solution [Efcortesol],19006966,1970-01-01,,RxNorm,105397,Branded Drug,S,hydrocortisone 100 MG/ML Injectable Solution [Efcortesol],Drug,2099-12-31
hydrocortisone 100 MG Injection [Solu-Cortef],19006967,1970-01-01,,RxNorm,105398,Branded Drug,S,hydrocortisone 100 MG Injection [Solu-Cortef],Drug,2099-12-31
hydrocortisone 10 MG/ML [Hydroskin],40234558,2011-02-06,,RxNorm,1086948,Branded Drug Comp,S,hydrocortisone 10 MG/ML [Hydroskin],Drug,2099-12-31
hydrocortisone acetate 0.00275 MG/MG,40226628,2010-10-03,,RxNorm,1012215,Clinical Drug Comp,S,hydrocortisone acetate 0.00275 MG/MG,Drug,2099-12-31
hydrocortisone acetate 0.0055 MG/MG,40226630,2010-10-03,,RxNorm,1012219,Clinical Drug Comp,S,hydrocortisone acetate 0.0055 MG/MG,Drug,2099-12-31
hydrocortisone acetate 0.025 MG/MG,40226638,2010-10-03,,RxNorm,1012222,Clinical Drug Comp,S,hydrocortisone acetate 0.025 MG/MG,Drug,2099-12-31
hydrocortisone acetate 20 MG/ML,40226541,2010-10-03,,RxNorm,1012232,Clinical Drug Comp,S,hydrocortisone acetate 20 MG/ML,Drug,2099-12-31
hydrocortisone acetate 5 MG/ML,40226550,2010-10-03,,RxNorm,1012234,Clinical Drug Comp,S,hydrocortisone acetate 5 MG/ML,Drug,2099-12-31
hydrocortisone acetate 0.025 MG/MG / lidocaine hydrochloride 0.03 MG/MG [Anamantle HC],40226642,2010-10-03,,RxNorm,1012242,Branded Drug Comp,S,hydrocortisone acetate 0.025 MG/MG / lidocaine hydrochloride 0.03 MG/MG [Anamantle HC],Drug,2099-12-31
hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML [Lidamantle HC],40226548,2010-10-03,,RxNorm,1012247,Branded Drug Comp,S,hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML [Lidamantle HC],Drug,2099-12-31
hydrocortisone acetate 10 MG/ML / lidocaine hydrochloride 30 MG/ML [Peranex],40226537,2010-10-03,,RxNorm,1012263,Branded Drug Comp,S,hydrocortisone acetate 10 MG/ML / lidocaine hydrochloride 30 MG/ML [Peranex],Drug,2099-12-31
hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML [Peranex],40226549,2010-10-03,,RxNorm,1012265,Branded Drug Comp,S,hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML [Peranex],Drug,2099-12-31
hydrocortisone acetate 0.0055 MG/MG / lidocaine hydrochloride 0.028 MG/MG [RectaGel],40226633,2010-10-03,,RxNorm,1012310,Branded Drug Comp,S,hydrocortisone acetate 0.0055 MG/MG / lidocaine hydrochloride 0.028 MG/MG [RectaGel],Drug,2099-12-31
hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML [Ana-Lex],40226547,2010-10-03,,RxNorm,1012325,Branded Drug Comp,S,hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML [Ana-Lex],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Lidazone],40226563,2010-10-03,,RxNorm,1012347,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Lidazone],Drug,2099-12-31
hydrocortisone acetate 2 MG/ML,40226539,2010-10-03,,RxNorm,1012361,Clinical Drug Comp,S,hydrocortisone acetate 2 MG/ML,Drug,2099-12-31
hydrocortisone acetate 0.025 MG/MG / lidocaine hydrochloride 0.03 MG/MG [Lidocort],40226643,2010-10-03,,RxNorm,1012566,Branded Drug Comp,S,hydrocortisone acetate 0.025 MG/MG / lidocaine hydrochloride 0.03 MG/MG [Lidocort],Drug,2099-12-31
hydrocortisone acetate 10 MG/ML / lidocaine hydrochloride 30 MG/ML [Anamantle HC],40226649,2010-10-03,,RxNorm,1012568,Branded Drug Comp,S,hydrocortisone acetate 10 MG/ML / lidocaine hydrochloride 30 MG/ML [Anamantle HC],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Anamantle HC],40226561,2010-10-03,,RxNorm,1012573,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Anamantle HC],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Senatec HC],40226564,2010-10-03,,RxNorm,1012610,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Senatec HC],Drug,2099-12-31
hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Lidamantle HC],40226562,2010-10-03,,RxNorm,1012620,Branded Drug Comp,S,hydrocortisone acetate 5 MG/ML / lidocaine hydrochloride 30 MG/ML [Lidamantle HC],Drug,2099-12-31
hydrocortisone acetate 0.01 MG/MG,40226634,2010-10-03,,RxNorm,1013097,Clinical Drug Comp,S,hydrocortisone acetate 0.01 MG/MG,Drug,2099-12-31
hydrocortisone acetate 23.5 MG/ML,40237061,2011-04-03,,RxNorm,1094442,Clinical Drug Comp,S,hydrocortisone acetate 23.5 MG/ML,Drug,2099-12-31
hydrocortisone acetate 23.5 MG/ML / pramoxine hydrochloride 10 MG/ML [Z-Pram],40237064,2011-04-03,,RxNorm,1094445,Branded Drug Comp,S,hydrocortisone acetate 23.5 MG/ML / pramoxine hydrochloride 10 MG/ML [Z-Pram],Drug,2099-12-31
chlorcyclizine hydrochloride 20 MG/ML / hydrocortisone acetate 5 MG/ML [Mantadil],40239745,2011-07-03,,RxNorm,1113059,Branded Drug Comp,S,chlorcyclizine hydrochloride 20 MG/ML / hydrocortisone acetate 5 MG/ML [Mantadil],Drug,2099-12-31
