concept_id	concept_name	standard_concept	standard_concept_caption	invalid_reason	invalid_reason_caption	concept_code	domain_id	vocabulary_id	concept_class_id
505722	Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free 120 dose	NULL		NULL		32925511000001101	Drug	SNOMED	Pharma/Biol Product
505969	Mometasone 0.1% ointment 25% in White soft paraffin 1 gram	NULL		NULL		32680911000001105	Drug	SNOMED	Pharma/Biol Product
505970	Mometasone 0.1% ointment 10% in White soft paraffin 1 gram	NULL		NULL		32680611000001104	Drug	SNOMED	Pharma/Biol Product
506180	Triamcinolone acetonide 40mg/1ml suspension for injection vials 1 vial	NULL		U		32457511000001109	Drug	SNOMED	Pharma/Biol Product
581508	FLUTICASONE PROPIONATE AND SALMETEROL DISKUS - fluticasone propionate and salmeterol powder	C		NULL		9e237635-6975-4930-9ce1-051d9e3bf615	Drug	SPL	Prescription Drug
581541	FLUTICASONE PROPIONATE AND SALMETEROL DISKUS - fluticasone propionate and salmeterol powder	C		NULL		ccf98c0a-fc40-4e08-bdf2-145fe4537db5	Drug	SPL	Prescription Drug
581550	FLUTICASONE PROPIONATE AND SALMETEROL DISKUS - fluticasone propionate and salmeterol powder	C		NULL		2dfadeac-6599-41c5-8e25-5f78cba17f00	Drug	SPL	Prescription Drug
581632	TRIAMCINOLONE ACETONIDE - triamcinolone acetonide cream	C		NULL		835bbcd1-3869-646c-e053-2a91aa0a796a	Drug	SPL	Prescription Drug
581769	MOMETASONE FUROATE - mometasone furoate cream	C		NULL		686a9abf-1ad7-4efe-be23-d2416c63efe6	Drug	SPL	Prescription Drug
581855	NYSTATIN AND TRIAMCINOLONE ACETONIDE - nystatin and triamcinolone acetonide cream	C		NULL		ca43c76e-eeef-463a-b72d-c537881395ac	Drug	SPL	Prescription Drug
582079	BESER - fluticasone propionate lotion	C		NULL		ae64f6b7-ba44-4850-9df3-3578fbe23346	Drug	SPL	Prescription Drug
582098	BESER - fluticasone propionate kit	C		NULL		d07fc520-4168-4378-94ef-d0c78aeb7863	Drug	SPL	Prescription Drug
582132	fluticasone propionate and salmeterol 50ug/1 / 250ug/1 RESPIRATORY (INHALATION) POWDER	C		NULL		0633e9be-56a4-40e9-9b0e-f86272c785b3	Drug	SPL	Prescription Drug
582235	fluticasone propionate and salmeterol 50ug/1 / 500ug/1 RESPIRATORY (INHALATION) POWDER	C		NULL		361957b3-c894-44d2-8580-77e8a917878c	Drug	SPL	Prescription Drug
582268	fluticasone propionate and salmeterol 50ug/1 / 100ug/1 RESPIRATORY (INHALATION) POWDER	C		NULL		4156dcc9-cb86-4380-b751-2c076f1b3807	Drug	SPL	Prescription Drug
582479	ciclesonide 37ug/1 NASAL AEROSOL, METERED [zetonna]	C		NULL		80de6e5f-fc61-40c5-9928-fb6a372efdfd	Drug	SPL	Prescription Drug
582501	triamcinolone acetonide 1mg/g TOPICAL CREAM	C		NULL		8385b73e-08c6-d697-e053-2a91aa0a9f8f	Drug	SPL	Prescription Drug
