concept_id,desired,comments,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id
792831,TRUE,,hydrocortisone 0.005 MG/MG [Cortizone],S,,NULL,,1987141,Drug,RxNorm,Branded Drug Comp
792834,TRUE,,hydrocortisone 5 MG/ML [Cortizone],S,,NULL,,1987145,Drug,RxNorm,Branded Drug Comp
792836,TRUE,,hydrocortisone 0.01 MG/MG [Cortizone],S,,NULL,,1987151,Drug,RxNorm,Branded Drug Comp
792838,TRUE,,hydrocortisone 10 MG/ML [Cortizone],S,,NULL,,1987155,Drug,RxNorm,Branded Drug Comp
975125,TRUE,,hydrocortisone,S,,NULL,,5492,Drug,RxNorm,Ingredient
975168,TRUE,,hydrocortisone 10 MG Oral Tablet,S,,NULL,,197782,Drug,RxNorm,Clinical Drug
975169,TRUE,,hydrocortisone 20 MG Oral Tablet,S,,NULL,,197783,Drug,RxNorm,Clinical Drug
975193,TRUE,,hydrocortisone 5 MG Oral Tablet,S,,NULL,,197787,Drug,RxNorm,Clinical Drug
975504,TRUE,,hydrocortisone 25 MG/ML Injectable Suspension,S,,NULL,,238754,Drug,RxNorm,Clinical Drug
975505,TRUE,,hydrocortisone 100 MG Injection,S,,NULL,,238755,Drug,RxNorm,Clinical Drug
975588,TRUE,,hydrocortisone 2.5 MG Oral Tablet,S,,NULL,,249569,Drug,RxNorm,Clinical Drug
975926,TRUE,,hydrocortisone 5 MG,S,,NULL,,317387,Drug,RxNorm,Clinical Drug Comp
975928,TRUE,,hydrocortisone 5 MG/ML,S,,NULL,,328348,Drug,RxNorm,Clinical Drug Comp
975929,TRUE,,hydrocortisone 50 MG/ML,S,,NULL,,328774,Drug,RxNorm,Clinical Drug Comp
975931,TRUE,,hydrocortisone 0.0025 MG/MG,S,,NULL,,329448,Drug,RxNorm,Clinical Drug Comp
975952,TRUE,,hydrocortisone 15 MG/ML,S,,NULL,,329836,Drug,RxNorm,Clinical Drug Comp
975953,TRUE,,hydrocortisone 1 MG/MG,S,,NULL,,329837,Drug,RxNorm,Clinical Drug Comp
975954,TRUE,,hydrocortisone 1.67 MG/ML,S,,NULL,,329838,Drug,RxNorm,Clinical Drug Comp
975955,TRUE,,hydrocortisone 0.1 MG/MG,S,,NULL,,329839,Drug,RxNorm,Clinical Drug Comp
975982,TRUE,,hydrocortisone 0.0075 MG/MG,S,,NULL,,334969,Drug,RxNorm,Clinical Drug Comp
975984,TRUE,,hydrocortisone 0.5 MG/ML,S,,NULL,,334971,Drug,RxNorm,Clinical Drug Comp
975985,TRUE,,hydrocortisone 2.5 MG,S,,NULL,,334972,Drug,RxNorm,Clinical Drug Comp
975986,TRUE,,hydrocortisone 0.01 MG/MG,S,,NULL,,339972,Drug,RxNorm,Clinical Drug Comp
976014,TRUE,,hydrocortisone 2.5 MG/ML,S,,NULL,,343175,Drug,RxNorm,Clinical Drug Comp
976015,TRUE,,hydrocortisone 20 MG/ML,S,,NULL,,343191,Drug,RxNorm,Clinical Drug Comp
976016,TRUE,,hydrocortisone 1.27 MG/ML,S,,NULL,,343481,Drug,RxNorm,Clinical Drug Comp
976017,TRUE,,hydrocortisone 1.25 MG/ML,S,,NULL,,343482,Drug,RxNorm,Clinical Drug Comp
976077,TRUE,,hydrocortisone 0.02 MG/MG,S,,NULL,,476784,Drug,RxNorm,Clinical Drug Comp
1592221,TRUE,,gentamicin sulfate 1.5 MG/ML / hydrocortisone aceponate 1.11 MG/ML / miconazole nitrate 15.1 MG/ML [Easotic],S,,NULL,,1870701,Drug,RxNorm,Branded Drug Comp
19005824,TRUE,,hydrocortisone 10 MG/ML [Proctozone-H],S,,NULL,,574732,Drug,RxNorm,Branded Drug Comp
19006606,TRUE,,hydrocortisone 25 MG/ML [Proctozone HC],S,,NULL,,575327,Drug,RxNorm,Branded Drug Comp
19006964,TRUE,,hydrocortisone 10 MG Oral Tablet [Hydrocortone],S,,NULL,,105395,Drug,RxNorm,Branded Drug
19006965,TRUE,,hydrocortisone 20 MG Oral Tablet [Hydrocortone],S,,NULL,,105396,Drug,RxNorm,Branded Drug
