concept_id,keep_entry_in_codeset,comments,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id
739917,TRUE,,triamcinolone acetonide 40 MG/ML Injection [Kenalog],S,,NULL,,2480109,Drug,RxNorm,Branded Drug
740264,TRUE,,1 ML triamcinolone acetonide 40 MG/ML Injection [Kenalog],S,,NULL,,2480108,Drug,RxNorm,Quant Branded Drug
789930,TRUE,,triamcinolone acetonide 80 MG/ML Injectable Suspension,S,,NULL,,2168081,Drug,RxNorm,Clinical Drug
789931,TRUE,,triamcinolone acetonide 80 MG/ML [Kenalog],S,,NULL,,2168082,Drug,RxNorm,Branded Drug Comp
789932,TRUE,,triamcinolone acetonide 80 MG/ML Injectable Suspension [Kenalog],S,,NULL,,2168083,Drug,RxNorm,Branded Drug
789934,TRUE,,triamcinolone Injection [Kenalog],S,,NULL,,2168096,Drug,RxNorm,Branded Drug Form
789935,TRUE,,triamcinolone acetonide 80 MG/ML Injection,S,,NULL,,2168098,Drug,RxNorm,Clinical Drug
789936,TRUE,,triamcinolone acetonide 80 MG/ML Injection [Kenalog],S,,NULL,,2168099,Drug,RxNorm,Branded Drug
790238,TRUE,,1 ML triamcinolone acetonide 80 MG/ML Injection,S,,NULL,,2168095,Drug,RxNorm,Quant Clinical Drug
790239,TRUE,,1 ML triamcinolone acetonide 80 MG/ML Injection [Kenalog],S,,NULL,,2168097,Drug,RxNorm,Quant Branded Drug
792424,TRUE,,triamcinolone Injection [Zilretta],S,,NULL,,1947127,Drug,RxNorm,Branded Drug Form
792426,TRUE,,triamcinolone acetonide 32 MG,S,,NULL,,1947130,Drug,RxNorm,Clinical Drug Comp
792427,TRUE,,triamcinolone acetonide 32 MG Injection,S,,NULL,,1947131,Drug,RxNorm,Clinical Drug
792428,TRUE,,triamcinolone acetonide 32 MG [Zilretta],S,,NULL,,1947132,Drug,RxNorm,Branded Drug Comp
792429,TRUE,,triamcinolone acetonide 32 MG Injection [Zilretta],S,,NULL,,1947133,Drug,RxNorm,Branded Drug
792484,TRUE,,fluticasone / umeclidinium / vilanterol Dry Powder Inhaler,S,,NULL,,1945037,Drug,RxNorm,Clinical Drug Form
