concept_id,keep_entry_in_codeset,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
40171348,NA,{1 (113400 MG) (ammonium lactate 120 MG/ML Topical Foam [Pro 12]) / 1 (45000 MG) (mometasone furoate 1 MG/ML Topical Cream [Momexin]) } Pack [Momexin Kit],Drug,RxNorm,Branded Pack,S,891170,2010-01-31,2099-12-31,NULL
40171349,NA,{1 (113400 MG) (ammonium lactate 120 MG/ML Topical Foam) / 1 (45000 MG) (mometasone furoate 1 MG/ML Topical Cream) } Pack,Drug,RxNorm,Clinical Pack,S,891162,2010-01-31,2099-12-31,NULL
35606603,NA,{1 (118 ML) (dimethicone 20 MG/ML Topical Cream) / 1 (80000 MG) (triamcinolone acetonide 1 MG/ML Topical Cream) } Pack,Drug,RxNorm,Clinical Pack,S,1720617,2016-05-02,2099-12-31,NULL
46275458,NA,{1 (118000 MG) (dimethicone 50 MG/ML Topical Cream) / 1 (8000 MG) (triamcinolone acetonide 10 MG/ML Topical Cream) } Pack,Drug,RxNorm,Clinical Pack,S,1658271,2015-09-08,2099-12-31,NULL
19132478,NA,{1 (22.7 ML) (hydrocortisone 0.01 MG/MG Topical Gel [Xebcort]) / 3 (15 ML) (ketoconazole 0.02 MG/MG Topical Gel [Xolegel]) } Pack [Xolegel CorePak],Drug,RxNorm,Branded Pack,S,808354,2008-11-09,2099-12-31,NULL
19132474,NA,{1 (22.7 ML) (hydrocortisone 0.01 MG/MG Topical Gel) / 3 (15 ML) (ketoconazole 0.02 MG/MG Topical Gel) } Pack,Drug,RxNorm,Clinical Pack,S,808349,2008-11-09,2099-12-31,NULL
43011923,NA,{1 (28400 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream [Analpram HC]) / 6 (pramoxine hydrochloride 10 MG/ML Medicated Pad [Prax]) } Pack [Analpram E Kit with 6 Prax Medicated Pad],Drug,RxNorm,Branded Pack,S,1362223,2013-01-07,2099-12-31,NULL
43011922,NA,{1 (28400 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream) / 6 (pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack,Drug,RxNorm,Clinical Pack,S,1362222,2013-01-07,2099-12-31,NULL
19129602,NA,{1 (30 ML) (hydrocortisone 20 MG/ML Topical Lotion [Coraz]) / 1 (177 ML) (salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo [Pulere]) } Pack [Coraz Lotion Kit],Drug,RxNorm,Branded Pack,S,763548,2008-03-30,2099-12-31,NULL
19133826,NA,{1 (30 ML) (hydrocortisone 20 MG/ML Topical Lotion [Scalacort]) / 1 (118 ML) (salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo) } Pack [Scalacort DK],Drug,RxNorm,Branded Pack,S,833507,2009-03-01,2099-12-31,NULL
19133824,NA,{1 (30 ML) (hydrocortisone 20 MG/ML Topical Lotion) / 1 (118 ML) (salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo) } Pack,Drug,RxNorm,Clinical Pack,S,833505,2009-03-01,2099-12-31,NULL
19129597,NA,{1 (30 ML) (hydrocortisone 20 MG/ML Topical Lotion) / 1 (177 ML) (salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo) } Pack,Drug,RxNorm,Clinical Pack,S,763539,2008-03-30,2099-12-31,NULL
42708546,NA,{1 (30000 MG) (hydrocortisone 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream) / 6 (pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack,Drug,RxNorm,Clinical Pack,S,1246586,2012-05-07,2099-12-31,NULL
43011921,NA,{1 (4000 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream [Analpram HC]) / 1 (pramoxine hydrochloride 10 MG/ML Medicated Pad [Prax]) } Pack [Analpram E Kit with 1 Prax Medicated Pad],Drug,RxNorm,Branded Pack,S,1362221,2013-01-07,2099-12-31,NULL
43011920,NA,{1 (4000 MG) (hydrocortisone acetate 25 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream) / 1 (pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack,Drug,RxNorm,Clinical Pack,S,1362220,2013-01-07,2099-12-31,NULL
40244490,NA,{1 (42000 MG) (colloidal oatmeal 10 MG/ML Topical Cream) / 1 (8500 MG) (hydrocortisone 10 MG/ML Topical Cream) } Pack,Drug,RxNorm,Clinical Pack,S,1193304,2011-12-04,2099-12-31,NULL
40228850,NA,{1 (42500 MG) (hydrocortisone 0.01 MG/MG Topical Gel) / 1 (60000 MG) (ketoconazole 20 MG/ML Topical Cream) } Pack,Drug,RxNorm,Clinical Pack,S,1014366,2010-10-31,2099-12-31,NULL
40228851,NA,{1 (42500 MG) (hydrocortisone 0.01 MG/MG Topical Gel) / 1 (60000 MG) (ketoconazole 20 MG/ML Topical Cream) } Pack [Ketocon Plus],Drug,RxNorm,Branded Pack,S,1014367,2010-10-31,2099-12-31,NULL
44818197,NA,{1 (75000 MG) (clotrimazole 0.01 MG/MG Medicated Bar Soap) / 1 (25000 MG) (clotrimazole 0.01 MG/MG Topical Ointment) } Pack,Drug,RxNorm,Clinical Pack,S,1535506,2014-06-02,2099-12-31,NULL
19130122,NA,{12 (dexamethasone 0.75 MG Oral Tablet [Decadron]) } Pack [Decadron 5-12],Drug,RxNorm,Branded Pack,S,795716,2008-06-01,2099-12-31,NULL
19129289,NA,{12 (dexamethasone 0.75 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,759696,2008-03-02,2099-12-31,NULL
19130165,NA,{12 (prednisone 5 MG Oral Tablet [Sterapred]) } Pack [Sterapred Uni-Pak 12 Day],Drug,RxNorm,Branded Pack,S,795855,2008-06-01,2099-12-31,NULL
19130164,NA,{12 (prednisone 5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,795854,2008-06-01,2099-12-31,NULL
19131653,NA,{14 (methylprednisolone 16 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,804173,2008-08-31,2099-12-31,NULL
19129375,NA,{2 (hydrocortisone 10 MG/ML Topical Cream) } Pack,Drug,RxNorm,Clinical Pack,S,762582,2008-03-30,2099-12-31,NULL
40166046,NA,{200 (beclomethasone dipropionate 1 MG Delayed Release Oral Tablet) / 200 (beclomethasone dipropionate 1 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,858139,2009-09-06,2099-12-31,NULL
40166047,NA,{200 (beclomethasone dipropionate 1 MG Delayed Release Oral Tablet) / 200 (beclomethasone dipropionate 1 MG Oral Tablet) } Pack [orBec],Drug,RxNorm,Branded Pack,S,858140,2009-09-06,2099-12-31,NULL
793639,NA,{21 (dexamethasone 1.5 MG Oral Tablet [Decadron]) } Pack [Decadron DP 6 Day],Drug,RxNorm,Branded Pack,S,1945071,2018-02-05,2099-12-31,NULL
19135172,NA,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack,Drug,RxNorm,Clinical Pack,S,846192,2009-05-03,2099-12-31,NULL
19135275,NA,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [DexPak TaperPak 6 Day],Drug,RxNorm,Branded Pack,S,847225,2009-05-03,2099-12-31,NULL
1366731,NA,{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [HiDex 6-Day Taper],Drug,RxNorm,Branded Pack,S,2118829,2019-04-01,2099-12-31,NULL
