concept_name,concept_id,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id,valid_end_date
prednisolone 5 MG Oral Tablet [Prednesol],19007005,1970-01-01,,RxNorm,105407,Branded Drug,S,prednisolone 5 MG Oral Tablet [Prednesol],Drug,2099-12-31
prednisolone 2.5 MG Delayed Release Oral Tablet,19007006,1970-01-01,,RxNorm,105408,Clinical Drug,S,prednisolone 2.5 MG Delayed Release Oral Tablet,Drug,2099-12-31
prednisolone 5 MG Delayed Release Oral Tablet,19007007,1970-01-01,,RxNorm,105409,Clinical Drug,S,prednisolone 5 MG Delayed Release Oral Tablet,Drug,2099-12-31
prednisolone 5 MG Disintegrating Oral Tablet,19007008,1970-01-01,,RxNorm,105410,Clinical Drug,S,prednisolone 5 MG Disintegrating Oral Tablet,Drug,2099-12-31
{48 (prednisolone 5 MG Oral Tablet) } Pack,40225703,2010-09-05,,RxNorm,1005830,Clinical Pack,S,{48 (prednisolone 5 MG Oral Tablet) } Pack,Drug,2099-12-31
{48 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 12 Day],40225702,2010-09-05,,RxNorm,1005831,Branded Pack,S,{48 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 12 Day],Drug,2099-12-31
{21 (prednisolone 5 MG Oral Tablet) } Pack,40227495,2010-10-03,,RxNorm,1013114,Clinical Pack,S,{21 (prednisolone 5 MG Oral Tablet) } Pack,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Stintisone],19001447,1970-01-01,,RxNorm,102858,Branded Drug,S,prednisolone 5 MG Oral Tablet [Stintisone],Drug,2099-12-31
prednisolone 5 MG Oral Tablet,1550560,1970-01-01,,RxNorm,198142,Clinical Drug,S,prednisolone 5 MG Oral Tablet,Drug,2099-12-31
prednisolone 1 MG Oral Tablet,1550561,1970-01-01,,RxNorm,199343,Clinical Drug,S,prednisolone 1 MG Oral Tablet,Drug,2099-12-31
prednisolone 25 MG Oral Tablet,1550572,1970-01-01,,RxNorm,199967,Clinical Drug,S,prednisolone 25 MG Oral Tablet,Drug,2099-12-31
prednisolone 5 MG,1550777,1970-01-01,,RxNorm,316579,Clinical Drug Comp,S,prednisolone 5 MG,Drug,2099-12-31
prednisolone 50 MG Oral Tablet,19096439,1970-01-01,,RxNorm,348428,Clinical Drug,S,prednisolone 50 MG Oral Tablet,Drug,2099-12-31
prednisolone 50 MG,19096935,1970-01-01,,RxNorm,349801,Clinical Drug Comp,S,prednisolone 50 MG,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Cotolone],1550975,1970-01-01,,RxNorm,351519,Branded Drug,S,prednisolone 5 MG Oral Tablet [Cotolone],Drug,2099-12-31
prednisolone Delayed Release Oral Tablet,40073190,1970-01-01,,RxNorm,373572,Clinical Drug Form,S,prednisolone Delayed Release Oral Tablet,Drug,2099-12-31
prednisolone Oral Tablet,40073458,1970-01-01,,RxNorm,373578,Clinical Drug Form,S,prednisolone Oral Tablet,Drug,2099-12-31
prednisolone 1 MG,19089451,1970-01-01,,RxNorm,333209,Clinical Drug Comp,S,prednisolone 1 MG,Drug,2099-12-31
prednisolone 25 MG,19089452,1970-01-01,,RxNorm,333210,Clinical Drug Comp,S,prednisolone 25 MG,Drug,2099-12-31
prednisolone 2.5 MG,1550948,1970-01-01,,RxNorm,335529,Clinical Drug Comp,S,prednisolone 2.5 MG,Drug,2099-12-31
prednisolone 5 MG Oral Tablet [Prednistab],40244441,2011-12-04,,RxNorm,1191686,Branded Drug,S,prednisolone 5 MG Oral Tablet [Prednistab],Drug,2099-12-31
{21 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 6 Day],42707634,2012-05-07,,RxNorm,1235042,Branded Pack,S,{21 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 6 Day],Drug,2099-12-31
prednisolone 10 MG Oral Tablet,19108490,1970-01-01,,RxNorm,436279,Clinical Drug,S,prednisolone 10 MG Oral Tablet,Drug,2099-12-31
5 ML prednisolone 1 MG/ML Oral Solution [Pediapred],44130319,2017-08-24,,RxNorm Extension,OMOP1124950,Quant Branded Drug,S,5 ML prednisolone 1 MG/ML Oral Solution [Pediapred],Drug,2099-12-31
5 ML prednisolone 1 MG/ML Oral Solution [Pms-Prednisolone] by Pharmascience,44130388,2017-08-24,,RxNorm Extension,OMOP1125019,Marketed Product,S,5 ML prednisolone 1 MG/ML Oral Solution [Pms-Prednisolone] by Pharmascience,Drug,2099-12-31
5 ML prednisolone 1 MG/ML Oral Solution [Pediapred] by Fisons,44130389,2017-08-24,,RxNorm Extension,OMOP1125020,Marketed Product,S,5 ML prednisolone 1 MG/ML Oral Solution [Pediapred] by Fisons,Drug,2099-12-31
5 ML prednisolone 1 MG/ML Oral Solution [Pediapred] by Sanofi,44130609,2017-08-24,,RxNorm Extension,OMOP1125240,Marketed Product,S,5 ML prednisolone 1 MG/ML Oral Solution [Pediapred] by Sanofi,Drug,2099-12-31
