Concept Name,Concept Id,Valid Start Date,Invalid Reason,Vocabulary Id,Concept Code,Concept Class Id,Standard Concept,Concept Name,Domain Id,Valid End Date
methylprednisolone; topical,21602101,1970-01-01,,ATC,D07AA01,ATC 5th,C,methylprednisolone; topical,Drug,2099-12-31
"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21602681,1970-01-01,,ATC,H,ATC 1st,C,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Drug,2099-12-31
"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",21602723,1970-01-01,,ATC,H02A,ATC 3rd,C,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",Drug,2099-12-31
methylprednisolone; systemic,21602732,1970-01-01,,ATC,H02AB04,ATC 5th,C,methylprednisolone; systemic,Drug,2099-12-31
Methylprednisolone-containing product,4099033,2002-01-31,,SNOMED,27242001,Pharma/Biol Product,,Methylprednisolone-containing product,Drug,2099-12-31
"Injection, methylprednisolone acetate, 80 mg",2718336,1982-01-01,,HCPCS,J1040,HCPCS,,"Injection, methylprednisolone acetate, 80 mg",Drug,2099-12-31
"Methylprednisolone oral, per 4 mg",2718722,1996-01-01,,HCPCS,J7509,HCPCS,,"Methylprednisolone oral, per 4 mg",Drug,2099-12-31
Methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials,45972496,2006-05-01,,SNOMED,4396711000001105,Pharma/Biol Product,,Methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials,Drug,2099-12-31
Methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials,45972497,2006-05-01,,SNOMED,4396811000001102,Pharma/Biol Product,,Methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials,Drug,2099-12-31
Methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials,45972498,2006-05-01,,SNOMED,4396911000001107,Pharma/Biol Product,,Methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials,Drug,2099-12-31
Methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials,45972653,2006-05-01,,SNOMED,4195311000001108,Pharma/Biol Product,,Methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials,Drug,2099-12-31
Methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials,45972652,2006-05-01,,SNOMED,4195411000001101,Pharma/Biol Product,,Methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials,Drug,2099-12-31
Methylprednisolone 1 g powder for solution for injection vial,4158079,2002-01-31,,SNOMED,325409000,Pharma/Biol Product,,Methylprednisolone 1 g powder for solution for injection vial,Drug,2099-12-31
prednisone; rectal,21600655,1970-01-01,,ATC,A07EA03,ATC 5th,C,prednisone; rectal,Drug,2099-12-31
methylprednisolone; topical,21602285,1970-01-01,,ATC,D10AA02,ATC 5th,C,methylprednisolone; topical,Drug,2099-12-31
CORTICOSTEROIDS FOR SYSTEMIC USE,21602722,1970-01-01,,ATC,H02,ATC 2nd,C,CORTICOSTEROIDS FOR SYSTEMIC USE,Drug,2099-12-31
Glucocorticoids,21602728,1970-01-01,,ATC,H02AB,ATC 4th,C,Glucocorticoids,Drug,2099-12-31
prednisone; oral,21602735,1970-01-01,,ATC,H02AB07,ATC 5th,C,prednisone; oral,Drug,2099-12-31
Methylprednisolone acetate 120mg/3ml suspension for injection vials,36690493,2018-11-28,,SNOMED,36034611000001105,Pharma/Biol Product,,Methylprednisolone acetate 120mg/3ml suspension for injection vials,Drug,2099-12-31
Methylprednisolone acetate 40mg/1ml suspension for injection vials,36690494,2018-11-28,,SNOMED,36034711000001101,Pharma/Biol Product,,Methylprednisolone acetate 40mg/1ml suspension for injection vials,Drug,2099-12-31
Methylprednisolone acetate 80mg/2ml suspension for injection vials,36690495,2018-11-28,,SNOMED,36034811000001109,Pharma/Biol Product,,Methylprednisolone acetate 80mg/2ml suspension for injection vials,Drug,2099-12-31
Methylprednisolone 100 mg oral tablet,4157138,2002-01-31,,SNOMED,325410005,Pharma/Biol Product,,Methylprednisolone 100 mg oral tablet,Drug,2099-12-31
Methylprednisolone 2 mg oral tablet,4158356,2002-01-31,,SNOMED,325411009,Pharma/Biol Product,,Methylprednisolone 2 mg oral tablet,Drug,2099-12-31
Methylprednisolone 4 mg oral tablet,4157139,2002-01-31,,SNOMED,325412002,Pharma/Biol Product,,Methylprednisolone 4 mg oral tablet,Drug,2099-12-31
