concept_name,concept_id,desired,comments,valid_start_date,invalid_reason,vocabulary_id,concept_code,concept_class_id,standar_concept,concept_name,domain_id
hydrocortisone; systemic,21602737,TRUE,,1/1/1970,,ATC,H02AB09,ATC 5th,C,hydrocortisone; systemic,Drug
hydrocortisone; oral,21600036,TRUE,,1/1/1970,,ATC,A01AC03,ATC 5th,C,hydrocortisone; oral,Drug
hydrocortisone acetate 0.0055 MG/MG,40226630,TRUE,delete,10/3/2010,,RxNorm,1012219,Clinical Drug Comp,S,hydrocortisone acetate 0.0055 MG/MG,Drug
hydrocortisone acetate 20 MG/ML,40226541,TRUE,,10/3/2010,,RxNorm,1012232,Clinical Drug Comp,S,hydrocortisone acetate 20 MG/ML,Drug
hydrocortisone acetate 5 MG/ML,40226550,TRUE,,10/3/2010,,RxNorm,1012234,Clinical Drug Comp,S,hydrocortisone acetate 5 MG/ML,Drug
hydrocortisone acetate 50 MG/ML,40228300,TRUE,,10/31/2010,,RxNorm,1037327,Clinical Drug Comp,S,hydrocortisone acetate 50 MG/ML,Drug
hydrocortisone acetate 50 MG/ML [Hydrocortone Acetate],40228303,TRUE,,10/31/2010,,RxNorm,1037329,Branded Drug Comp,S,hydrocortisone acetate 50 MG/ML [Hydrocortone Acetate],Drug
hydrocortisone 10 MG Oral Tablet [Hydrocortone],19006964,TRUE,,1/1/1970,,RxNorm,105395,Branded Drug,S,hydrocortisone 10 MG Oral Tablet [Hydrocortone],Drug
hydrocortisone 20 MG Oral Tablet [Hydrocortone],19006965,TRUE,,1/1/1970,,RxNorm,105396,Branded Drug,S,hydrocortisone 20 MG Oral Tablet [Hydrocortone],Drug
Hydrocortisone 20 MG Oral Tablet [Plenadren],40845203,TRUE,,8/24/2017,,RxNorm Extension,OMOP2043165,Branded Drug,S,Hydrocortisone 20 MG Oral Tablet [Plenadren],Drug
Hydrocortisone 10 MG/ML [Cutisol],40828821,TRUE,delete,8/24/2017,,RxNorm Extension,OMOP2026783,Branded Drug Comp,S,Hydrocortisone 10 MG/ML [Cutisol],Drug
Hydrocortisone 20 MG Oral Tablet Box of 100,40866948,TRUE,,8/24/2017,,RxNorm Extension,OMOP2064910,Clinical Drug Box,S,Hydrocortisone 20 MG Oral Tablet Box of 100,Drug
