concept_id,concept_name,keep_entry_in_codeset,comments,condition_count,patient_count,concept_code,vocabulary_id,concept_class_id,domain_id
739917,triamcinolone acetonide 40 MG/ML Injection [Kenalog],FALSE,,20,20,2480109,RxNorm,Branded Drug,Drug
740264,1 ML triamcinolone acetonide 40 MG/ML Injection [Kenalog],FALSE,,41784,17462,2480108,RxNorm,Quant Branded Drug,Drug
789930,triamcinolone acetonide 80 MG/ML Injectable Suspension,FALSE,,244,152,2168081,RxNorm,Clinical Drug,Drug
789931,triamcinolone acetonide 80 MG/ML [Kenalog],FALSE,,20,20,2168082,RxNorm,Branded Drug Comp,Drug
789932,triamcinolone acetonide 80 MG/ML Injectable Suspension [Kenalog],FALSE,,20,20,2168083,RxNorm,Branded Drug,Drug
789934,triamcinolone Injection [Kenalog],FALSE,,20,20,2168096,RxNorm,Branded Drug Form,Drug
789935,triamcinolone acetonide 80 MG/ML Injection,FALSE,,20,20,2168098,RxNorm,Clinical Drug,Drug
789936,triamcinolone acetonide 80 MG/ML Injection [Kenalog],FALSE,,20,20,2168099,RxNorm,Branded Drug,Drug
790238,1 ML triamcinolone acetonide 80 MG/ML Injection,FALSE,,20,20,2168095,RxNorm,Quant Clinical Drug,Drug
790239,1 ML triamcinolone acetonide 80 MG/ML Injection [Kenalog],FALSE,,205,127,2168097,RxNorm,Quant Branded Drug,Drug
792424,triamcinolone Injection [Zilretta],FALSE,,20,20,1947127,RxNorm,Branded Drug Form,Drug
792426,triamcinolone acetonide 32 MG,FALSE,,20,20,1947130,RxNorm,Clinical Drug Comp,Drug
792427,triamcinolone acetonide 32 MG Injection,FALSE,,1977,703,1947131,RxNorm,Clinical Drug,Drug
792428,triamcinolone acetonide 32 MG [Zilretta],FALSE,,20,20,1947132,RxNorm,Branded Drug Comp,Drug
792429,triamcinolone acetonide 32 MG Injection [Zilretta],FALSE,,492,141,1947133,RxNorm,Branded Drug,Drug
792484,fluticasone / umeclidinium / vilanterol Dry Powder Inhaler,FALSE,,826,461,1945037,RxNorm,Clinical Drug Form,Drug
792485,14 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,FALSE,,35138,9916,1945039,RxNorm,Quant Clinical Drug,Drug
792487,fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT [Trelegy],FALSE,,20,20,1945041,RxNorm,Branded Drug Comp,Drug
792488,fluticasone / umeclidinium / vilanterol Dry Powder Inhaler [Trelegy],FALSE,,20,20,1945042,RxNorm,Branded Drug Form,Drug
792490,14 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Trelegy],FALSE,,10901,2882,1945044,RxNorm,Quant Branded Drug,Drug
792491,fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,FALSE,,5102,2127,1945045,RxNorm,Clinical Drug,Drug
792492,fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Trelegy],FALSE,,3179,812,1945046,RxNorm,Branded Drug,Drug
792493,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,FALSE,,13619,3269,1945047,RxNorm,Quant Clinical Drug,Drug
792494,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Trelegy],FALSE,,55577,5875,1945048,RxNorm,Quant Branded Drug,Drug
792586,fluticasone propionate 0.093 MG/ACTUAT,TRUE,,20,20,1946582,RxNorm,Clinical Drug Comp,Drug
792587,fluticasone propionate 0.093 MG/ACTUAT Metered Dose Nasal Spray,TRUE,,10254,1532,1946583,RxNorm,Clinical Drug,Drug
792589,fluticasone propionate 0.093 MG/ACTUAT [Xhance],TRUE,,20,20,1946585,RxNorm,Branded Drug Comp,Drug
792590,fluticasone Metered Dose Nasal Spray [Xhance],TRUE,,20,20,1946586,RxNorm,Branded Drug Form,Drug
792593,fluticasone propionate 0.093 MG/ACTUAT Metered Dose Nasal Spray [Xhance],TRUE,,3834,938,1946589,RxNorm,Branded Drug,Drug
793456,mometasone furoate 1.35 MG,TRUE,,20,20,1995982,RxNorm,Clinical Drug Comp,Drug
793457,mometasone furoate 1.35 MG Drug Implant,FALSE,,40,25,1995983,RxNorm,Clinical Drug,Drug
793459,mometasone furoate 1.35 MG [Sinuva],FALSE,,20,20,1995985,RxNorm,Branded Drug Comp,Drug
793460,mometasone Drug Implant [Sinuva],FALSE,,20,20,1995986,RxNorm,Branded Drug Form,Drug
793462,mometasone furoate 1.35 MG Drug Implant [Sinuva],FALSE,,79,25,1995988,RxNorm,Branded Drug,Drug
793577,fluticasone propionate 0.05 MG/ACTUAT [Fluticare],TRUE,,20,20,1996208,RxNorm,Branded Drug Comp,Drug
793578,fluticasone Metered Dose Nasal Spray [Fluticare],TRUE,,20,20,1996209,RxNorm,Branded Drug Form,Drug
793581,fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Fluticare],TRUE,,7118,2530,1996212,RxNorm,Branded Drug,Drug
793912,60 ACTUAT fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler,FALSE,,49,35,1941531,RxNorm,Quant Clinical Drug,Drug
793914,fluticasone propionate 0.113 MG/ACTUAT [Armonair],FALSE,,20,20,1941533,RxNorm,Branded Drug Comp,Drug
793915,fluticasone Dry Powder Inhaler [Armonair],FALSE,,20,20,1941534,RxNorm,Branded Drug Form,Drug
793917,60 ACTUAT fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler [Armonair],FALSE,,20,20,1941536,RxNorm,Quant Branded Drug,Drug
