concept_id,concept_name,keep_entry_in_codeset,comments,condition_count,patient_count,standard_concept,invalid_reason,concept_code,vocabulary_id,concept_class_id,domain_id
792831,hydrocortisone 0.005 MG/MG [Cortizone],TRUE,NA,20,20,S,NA,1987141,RxNorm,Branded Drug Comp,Drug
792834,hydrocortisone 5 MG/ML [Cortizone],TRUE,NA,20,20,S,NA,1987145,RxNorm,Branded Drug Comp,Drug
792836,hydrocortisone 0.01 MG/MG [Cortizone],TRUE,NA,20,20,S,NA,1987151,RxNorm,Branded Drug Comp,Drug
792838,hydrocortisone 10 MG/ML [Cortizone],TRUE,NA,20,20,S,NA,1987155,RxNorm,Branded Drug Comp,Drug
975125,hydrocortisone,TRUE,NA,2507368,110774,S,NA,5492,RxNorm,Ingredient,Drug
975168,hydrocortisone 10 MG Oral Tablet,TRUE,NA,123713,8742,S,NA,197782,RxNorm,Clinical Drug,Drug
975169,hydrocortisone 20 MG Oral Tablet,TRUE,NA,36182,4441,S,NA,197783,RxNorm,Clinical Drug,Drug
975193,hydrocortisone 5 MG Oral Tablet,TRUE,NA,83925,7110,S,NA,197787,RxNorm,Clinical Drug,Drug
975504,hydrocortisone 25 MG/ML Injectable Suspension,TRUE,NA,20,20,S,NA,238754,RxNorm,Clinical Drug,Drug
975505,hydrocortisone 100 MG Injection,TRUE,NA,607748,71728,S,NA,238755,RxNorm,Clinical Drug,Drug
975588,hydrocortisone 2.5 MG Oral Tablet,TRUE,NA,20,20,S,NA,249569,RxNorm,Clinical Drug,Drug
975926,hydrocortisone 5 MG,TRUE,NA,20,20,S,NA,317387,RxNorm,Clinical Drug Comp,Drug
975928,hydrocortisone 5 MG/ML,TRUE,NA,20,20,S,NA,328348,RxNorm,Clinical Drug Comp,Drug
975929,hydrocortisone 50 MG/ML,TRUE,NA,6693,580,S,NA,328774,RxNorm,Clinical Drug Comp,Drug
975931,hydrocortisone 0.0025 MG/MG,TRUE,NA,20,20,S,NA,329448,RxNorm,Clinical Drug Comp,Drug
975952,hydrocortisone 15 MG/ML,TRUE,NA,20,20,S,NA,329836,RxNorm,Clinical Drug Comp,Drug
975953,hydrocortisone 1 MG/MG,TRUE,NA,20,20,S,NA,329837,RxNorm,Clinical Drug Comp,Drug
975954,hydrocortisone 1.67 MG/ML,TRUE,NA,20,20,S,NA,329838,RxNorm,Clinical Drug Comp,Drug
975955,hydrocortisone 0.1 MG/MG,TRUE,NA,20,20,S,NA,329839,RxNorm,Clinical Drug Comp,Drug
975982,hydrocortisone 0.0075 MG/MG,FALSE,delete,20,20,S,NA,334969,RxNorm,Clinical Drug Comp,Drug
975984,hydrocortisone 0.5 MG/ML,TRUE,NA,20,20,S,NA,334971,RxNorm,Clinical Drug Comp,Drug
975985,hydrocortisone 2.5 MG,TRUE,NA,20,20,S,NA,334972,RxNorm,Clinical Drug Comp,Drug
975986,hydrocortisone 0.01 MG/MG,FALSE,delete,20,20,S,NA,339972,RxNorm,Clinical Drug Comp,Drug
976014,hydrocortisone 2.5 MG/ML,TRUE,NA,7392,81,S,NA,343175,RxNorm,Clinical Drug Comp,Drug
976015,hydrocortisone 20 MG/ML,TRUE,NA,20,20,S,NA,343191,RxNorm,Clinical Drug Comp,Drug
976016,hydrocortisone 1.27 MG/ML,TRUE,NA,20,20,S,NA,343481,RxNorm,Clinical Drug Comp,Drug
976017,hydrocortisone 1.25 MG/ML,TRUE,NA,20,20,S,NA,343482,RxNorm,Clinical Drug Comp,Drug
976077,hydrocortisone 0.02 MG/MG,FALSE,delete,20,20,S,NA,476784,RxNorm,Clinical Drug Comp,Drug
1592221,gentamicin sulfate 1.5 MG/ML / hydrocortisone aceponate 1.11 MG/ML / miconazole nitrate 15.1 MG/ML [Easotic],TRUE,NA,20,20,S,NA,1870701,RxNorm,Branded Drug Comp,Drug
19005824,hydrocortisone 10 MG/ML [Proctozone-H],FALSE,delete,20,20,S,NA,574732,RxNorm,Branded Drug Comp,Drug
19006606,hydrocortisone 25 MG/ML [Proctozone HC],FALSE,delete,20,20,S,NA,575327,RxNorm,Branded Drug Comp,Drug
19006964,hydrocortisone 10 MG Oral Tablet [Hydrocortone],TRUE,NA,18625,1319,S,NA,105395,RxNorm,Branded Drug,Drug
19006965,hydrocortisone 20 MG Oral Tablet [Hydrocortone],TRUE,NA,8361,879,S,NA,105396,RxNorm,Branded Drug,Drug
19006966,hydrocortisone 100 MG/ML Injectable Solution [Efcortesol],TRUE,NA,20,20,S,NA,105397,RxNorm,Branded Drug,Drug
19006967,hydrocortisone 100 MG Injection [Solu-Cortef],TRUE,NA,423560,45968,S,NA,105398,RxNorm,Branded Drug,Drug
19020402,hydrocortisone 25 MG/ML [Anusol HC],TRUE,NA,20,20,S,NA,574115,RxNorm,Branded Drug Comp,Drug
19021571,hydrocortisone 4 MG Oral Tablet,TRUE,NA,20,20,S,NA,199320,RxNorm,Clinical Drug,Drug
19022881,hydrocortisone 25 MG/ML [Procto-Kit],FALSE,delete,20,20,S,NA,759715,RxNorm,Branded Drug Comp,Drug
19022882,hydrocortisone 10 MG/ML [Procto-Kit],FALSE,delete,20,20,S,NA,759718,RxNorm,Branded Drug Comp,Drug
19022929,hydrocortisone 10 MG/ML [Itch-X Maximum Strength],FALSE,delete,20,20,S,NA,761647,RxNorm,Branded Drug Comp,Drug
19023479,hydrocortisone 20 MG/ML [Coraz],TRUE,NA,20,20,S,NA,763541,RxNorm,Branded Drug Comp,Drug
19027280,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML [Otocidin],FALSE,delete,20,20,S,NA,792117,RxNorm,Branded Drug Comp,Drug
19027430,hydrocortisone 0.005 MG/MG Paste,FALSE,delete,20,20,S,NA,204420,RxNorm,Clinical Drug,Drug
