concept_id,concept_name,keep_entry_in_codeset,comments,condition_count,patient_count,standard_concept,invalid_reason,concept_code,vocabulary_id,concept_class_id,domain_id
1113120,aspirin 300 MG / methylprednisolone 1.5 MG Oral Tablet,TRUE,,,,S,,245993,RxNorm,Clinical Drug,Drug
1146889,piroxicam 10 MG / prednisone 2 MG Oral Tablet,TRUE,,,,S,,251947,RxNorm,Clinical Drug,Drug
1506270,methylprednisolone,TRUE,,1600004,197668,S,,6902,RxNorm,Ingredient,Drug
1506312,methylprednisolone 2 MG Oral Tablet,TRUE,,3460,880,S,,197969,RxNorm,Clinical Drug,Drug
1506314,methylprednisolone 32 MG Oral Tablet,TRUE,,,,S,,197971,RxNorm,Clinical Drug,Drug
1506315,methylprednisolone 8 MG Oral Tablet,TRUE,,,,S,,197973,RxNorm,Clinical Drug,Drug
1506316,methylprednisolone 100 MG Oral Tablet,TRUE,,20,20,S,,199771,RxNorm,Clinical Drug,Drug
1506426,methylprednisolone 4 MG Oral Tablet,TRUE,,221964,112855,S,,259966,RxNorm,Clinical Drug,Drug
1506430,methylprednisolone 40 MG Injection,TRUE,,516830,121525,S,,311659,RxNorm,Clinical Drug,Drug
1506472,methylprednisolone 2 MG,TRUE,,20,20,S,,316285,RxNorm,Clinical Drug Comp,Drug
1506473,methylprednisolone 24 MG,TRUE,,,,S,,316286,RxNorm,Clinical Drug Comp,Drug
1506474,methylprednisolone 32 MG,TRUE,,,,S,,316287,RxNorm,Clinical Drug Comp,Drug
1506475,methylprednisolone 8 MG,TRUE,,,,S,,316288,RxNorm,Clinical Drug Comp,Drug
1506476,methylprednisolone 16 MG,TRUE,,20,20,S,,317426,RxNorm,Clinical Drug Comp,Drug
1506477,methylprednisolone 4 MG,TRUE,,20,20,S,,317427,RxNorm,Clinical Drug Comp,Drug
1506479,methylprednisolone 16 MG Oral Tablet,TRUE,,18780,5007,S,,328161,RxNorm,Clinical Drug,Drug
1506513,methylprednisolone 100 MG,TRUE,,30,20,S,,332216,RxNorm,Clinical Drug Comp,Drug
1506516,methylprednisolone 20 MG/ML,TRUE,,,,S,,337312,RxNorm,Clinical Drug Comp,Drug
1506520,methylprednisolone 62.5 MG/ML,TRUE,,,,S,,346173,RxNorm,Clinical Drug Comp,Drug
1551099,prednisone,TRUE,,2747435,181064,S,,8640,RxNorm,Ingredient,Drug
1551100,prednisone 1 MG Oral Tablet,TRUE,,,,S,,198144,RxNorm,Clinical Drug,Drug
1551101,prednisone 10 MG Oral Tablet,TRUE,,,,S,,198145,RxNorm,Clinical Drug,Drug
1551122,prednisone 2.5 MG Oral Tablet,TRUE,,,,S,,198146,RxNorm,Clinical Drug,Drug
1551123,prednisone 50 MG Oral Tablet,TRUE,,,,S,,198148,RxNorm,Clinical Drug,Drug
1551170,prednisone 20 MG Oral Tablet,TRUE,,,,S,,312615,RxNorm,Clinical Drug,Drug
1551171,prednisone 25 MG Oral Tablet,TRUE,,,,S,,312616,RxNorm,Clinical Drug,Drug
1551192,prednisone 5 MG Oral Tablet,TRUE,,,,S,,312617,RxNorm,Clinical Drug,Drug
