concept_id,concept_name,keep_entry_in_codeset,comments,condition_count,patient_count,standard_concept,invalid_reason,concept_code,vocabulary_id,concept_class_id,domain_id
1113120,aspirin 300 MG / methylprednisolone 1.5 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,245993,RxNorm,Clinical Drug,Drug
1146889,piroxicam 10 MG / prednisone 2 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,251947,RxNorm,Clinical Drug,Drug
1506270,methylprednisolone,TRUE,NA,1600004,197668,S,NA,6902,RxNorm,Ingredient,Drug
1506312,methylprednisolone 2 MG Oral Tablet,TRUE,NA,3460,880,S,NA,197969,RxNorm,Clinical Drug,Drug
1506314,methylprednisolone 32 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,197971,RxNorm,Clinical Drug,Drug
1506315,methylprednisolone 8 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,197973,RxNorm,Clinical Drug,Drug
1506316,methylprednisolone 100 MG Oral Tablet,TRUE,NA,20,20,S,NA,199771,RxNorm,Clinical Drug,Drug
1506426,methylprednisolone 4 MG Oral Tablet,TRUE,NA,221964,112855,S,NA,259966,RxNorm,Clinical Drug,Drug
1506430,methylprednisolone 40 MG Injection,TRUE,NA,516830,121525,S,NA,311659,RxNorm,Clinical Drug,Drug
1506472,methylprednisolone 2 MG,TRUE,NA,20,20,S,NA,316285,RxNorm,Clinical Drug Comp,Drug
1506473,methylprednisolone 24 MG,TRUE,NA,NA,NA,S,NA,316286,RxNorm,Clinical Drug Comp,Drug
1506474,methylprednisolone 32 MG,TRUE,NA,NA,NA,S,NA,316287,RxNorm,Clinical Drug Comp,Drug
1506475,methylprednisolone 8 MG,TRUE,NA,NA,NA,S,NA,316288,RxNorm,Clinical Drug Comp,Drug
1506476,methylprednisolone 16 MG,TRUE,NA,20,20,S,NA,317426,RxNorm,Clinical Drug Comp,Drug
1506477,methylprednisolone 4 MG,TRUE,NA,20,20,S,NA,317427,RxNorm,Clinical Drug Comp,Drug
1506479,methylprednisolone 16 MG Oral Tablet,TRUE,NA,18780,5007,S,NA,328161,RxNorm,Clinical Drug,Drug
1506513,methylprednisolone 100 MG,TRUE,NA,30,20,S,NA,332216,RxNorm,Clinical Drug Comp,Drug
1506516,methylprednisolone 20 MG/ML,TRUE,NA,NA,NA,S,NA,337312,RxNorm,Clinical Drug Comp,Drug
1506520,methylprednisolone 62.5 MG/ML,TRUE,NA,NA,NA,S,NA,346173,RxNorm,Clinical Drug Comp,Drug
1551099,prednisone,TRUE,NA,2747435,181064,S,NA,8640,RxNorm,Ingredient,Drug
1551100,prednisone 1 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,198144,RxNorm,Clinical Drug,Drug
1551101,prednisone 10 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,198145,RxNorm,Clinical Drug,Drug
1551122,prednisone 2.5 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,198146,RxNorm,Clinical Drug,Drug
1551123,prednisone 50 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,198148,RxNorm,Clinical Drug,Drug
1551170,prednisone 20 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,312615,RxNorm,Clinical Drug,Drug
1551171,prednisone 25 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,312616,RxNorm,Clinical Drug,Drug
1551192,prednisone 5 MG Oral Tablet,TRUE,NA,NA,NA,S,NA,312617,RxNorm,Clinical Drug,Drug
1551193,prednisone 1 MG/ML Oral Solution,TRUE,NA,NA,NA,S,NA,315187,RxNorm,Clinical Drug,Drug
1551195,prednisone 2.5 MG,TRUE,NA,NA,NA,S,NA,316581,RxNorm,Clinical Drug Comp,Drug
1551196,prednisone 20 MG,TRUE,NA,NA,NA,S,NA,316582,RxNorm,Clinical Drug Comp,Drug
1551197,prednisone 25 MG,TRUE,NA,NA,NA,S,NA,316583,RxNorm,Clinical Drug Comp,Drug
1551198,prednisone 5 MG,TRUE,NA,20,20,S,NA,316584,RxNorm,Clinical Drug Comp,Drug
1551199,prednisone 5 MG/ML,TRUE,NA,NA,NA,S,NA,316585,RxNorm,Clinical Drug Comp,Drug
1551200,prednisone 50 MG,TRUE,NA,NA,NA,S,NA,316586,RxNorm,Clinical Drug Comp,Drug
1551201,prednisone 1 MG,TRUE,NA,20,20,S,NA,317475,RxNorm,Clinical Drug Comp,Drug
1551232,prednisone 10 MG,TRUE,NA,NA,NA,S,NA,317663,RxNorm,Clinical Drug Comp,Drug
1551233,prednisone 2 MG,TRUE,NA,20,20,S,NA,335473,RxNorm,Clinical Drug Comp,Drug
1551234,prednisone 5 MG Oral Tablet [Prednicot],TRUE,NA,NA,NA,S,NA,351399,RxNorm,Branded Drug,Drug
19078115,prednisone 5 MG [Prednicen-M],TRUE,NA,NA,NA,S,NA,567757,RxNorm,Branded Drug Comp,Drug
