concept_id,guess,ingredient_concept_ids,ingredient_names,ingredient_count,concept_name,vocabulary_id,concept_class_id,standard_concept
1154576,saba,1154343,albuterol,1,12 HR albuterol 4 MG Extended Release Oral Tablet,RxNorm,Quant Clinical Drug,S
1154620,saba,1154343,albuterol,1,12 HR albuterol 4 MG Extended Release Oral Tablet [Proventil],RxNorm,Quant Branded Drug,S
1154379,saba,1154343,albuterol,1,12 HR albuterol 4 MG Extended Release Oral Tablet [Volmax],RxNorm,Quant Branded Drug,S
40171426,saba,1154343,albuterol,1,12 HR albuterol 4 MG Extended Release Oral Tablet [Vospire],RxNorm,Quant Branded Drug,S
1154577,saba,1154343,albuterol,1,12 HR albuterol 8 MG Extended Release Oral Tablet,RxNorm,Quant Clinical Drug,S
1154378,saba,1154343,albuterol,1,12 HR albuterol 8 MG Extended Release Oral Tablet [Volmax],RxNorm,Quant Branded Drug,S
40171427,saba,1154343,albuterol,1,12 HR albuterol 8 MG Extended Release Oral Tablet [Vospire],RxNorm,Quant Branded Drug,S
40243202,saba,1154343,albuterol,1,120 ACTUAT albuterol 0.1 MG/ACTUAT / ipratropium bromide 0.02 MG/ACTUAT Inhalation Spray,RxNorm,Quant Clinical Drug,S
40243203,saba,1154343,albuterol,1,120 ACTUAT albuterol 0.1 MG/ACTUAT / ipratropium bromide 0.02 MG/ACTUAT Inhalation Spray [Combivent],RxNorm,Quant Branded Drug,S
1154660,saba,1154343,albuterol,1,200 ACTUAT albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray,RxNorm,Quant Clinical Drug,S
1113078,saba,1154343,albuterol,1,200 ACTUAT albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray [Combivent],RxNorm,Quant Branded Drug,S
46234464,saba,1154343,albuterol,1,200 ACTUAT albuterol 0.09 MG/ACTUAT Dry Powder Inhaler,RxNorm,Quant Clinical Drug,S
46234508,saba,1154343,albuterol,1,200 ACTUAT albuterol 0.09 MG/ACTUAT Dry Powder Inhaler [ProAir],RxNorm,Quant Branded Drug,S
1154615,saba,1154343,albuterol,1,200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,RxNorm,Quant Clinical Drug,S
1154617,saba,1154343,albuterol,1,80 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,RxNorm,Quant Clinical Drug,S
40163919,saba,1154343,albuterol,1,80 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],RxNorm,Quant Branded Drug,S
36221811,saba,1154343,albuterol,1,Accuneb Inhalant Product,RxNorm,Branded Dose Group,C
36236443,saba,1154343,albuterol,1,Airet Inhalant Product,RxNorm,Branded Dose Group,C
1154343,saba,1154343,albuterol,1,albuterol,RxNorm,Ingredient,S
4160634,saba,1154343,albuterol,1,Albuterol,SNOMED,Substance,NULL
45387635,saba,1154343,albuterol,1,Albuterol,GPI,GPI,NULL
36028493,saba,1154343,albuterol,1,Albuterol / Ambroxol,RxNorm,Multiple Ingredients,NULL
36214218,saba,1154343,albuterol,1,albuterol / ambroxol Oral Liquid Product,RxNorm,Clinical Dose Group,C
36214219,saba,1154343,albuterol,1,albuterol / ambroxol Oral Product,RxNorm,Clinical Dose Group,C
40006790,saba,1154343,albuterol,1,albuterol / ambroxol Oral Solution,RxNorm,Clinical Drug Form,S
36030818,saba,1154343,albuterol,1,Albuterol / Guaifenesin,RxNorm,Multiple Ingredients,NULL
36214222,saba,1154343,albuterol,1,albuterol / guaifenesin Oral Liquid Product,RxNorm,Clinical Dose Group,C
36215321,saba,1154343,albuterol,1,albuterol / guaifenesin Oral Product,RxNorm,Clinical Dose Group,C
40145234,saba,1154343,albuterol,1,albuterol / guaifenesin Oral Solution,RxNorm,Clinical Drug Form,S
36029881,saba,1154343,albuterol,1,Albuterol / Ipratropium,RxNorm,Multiple Ingredients,NULL
36215322,saba,1154343,albuterol,1,albuterol / ipratropium Inhalant Product,RxNorm,Clinical Dose Group,C
1356123,saba,1154343,albuterol,1,albuterol / ipratropium Inhalation Solution,RxNorm,Clinical Drug Form,S
1356124,saba,1154343,albuterol,1,albuterol / ipratropium Inhalation Solution [DuoNeb],RxNorm,Branded Drug Form,S
37499261,saba,1154343,albuterol,1,albuterol / ipratropium Inhalation Spray,RxNorm,Clinical Drug Form,S
37499262,saba,1154343,albuterol,1,albuterol / ipratropium Inhalation Spray [Combivent],RxNorm,Branded Drug Form,S
36031017,saba,1154343,albuterol,1,Albuterol / Ketotifen / Theophylline,RxNorm,Multiple Ingredients,NULL
