concept_id,steroid_class,ingredient_names,concept_name,count_record,count_patient,guess,ingredient_concept_ids,ingredient_count,standard_concept,invalid_reason,concept_code,vocabulary_id,concept_class_id
40166046,systemic,beclomethasone,{200 (beclomethasone dipropionate 1 MG Delayed Release Oral Tablet) / 200 (beclomethasone dipropionate 1 MG Oral Tablet) } Pack,0,0,systemic,1115572,1,S,,[858139],RxNorm,Clinical Pack
40166047,systemic,beclomethasone,{200 (beclomethasone dipropionate 1 MG Delayed Release Oral Tablet) / 200 (beclomethasone dipropionate 1 MG Oral Tablet) } Pack [orBec],0,0,systemic,1115572,1,S,,[858140],RxNorm,Branded Pack
40173401,inhaled,beclomethasone,100 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,9961,3659,inhaled,1115572,1,S,,[966536],RxNorm,Quant Clinical Drug
40173402,inhaled,beclomethasone,100 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],4248,1248,inhaled,1115572,1,S,,[966538],RxNorm,Quant Branded Drug
40173403,inhaled,beclomethasone,100 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,10417,3476,inhaled,1115572,1,S,,[966540],RxNorm,Quant Clinical Drug
40173404,inhaled,beclomethasone,100 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],1546,615,inhaled,1115572,1,S,,[966542],RxNorm,Quant Branded Drug
44814264,inhaled,beclomethasone,120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,6546,2392,inhaled,1115572,1,S,,[1490773],RxNorm,Quant Clinical Drug
44814265,inhaled,beclomethasone,120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],7917,2610,inhaled,1115572,1,S,,[1490774],RxNorm,Quant Branded Drug
44814266,inhaled,beclomethasone,120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,20680,4726,inhaled,1115572,1,S,,[1490666],RxNorm,Quant Clinical Drug
44814267,inhaled,beclomethasone,120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],16956,4443,inhaled,1115572,1,S,,[1490668],RxNorm,Quant Branded Drug
40173396,inhaled,beclomethasone,120 ACTUAT beclomethasone dipropionate 0.084 MG/ACTUAT Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[966675],RxNorm,Quant Clinical Drug
40173436,inhaled,beclomethasone,200 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,0,0,inhaled,1115572,1,S,,[966623],RxNorm,Quant Clinical Drug
