concept_id,keep_entry_in_codeset,comments,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id
1113120,TRUE,,aspirin 300 MG / methylprednisolone 1.5 MG Oral Tablet,S,,NULL,,245993,Drug,RxNorm,Clinical Drug
1146889,TRUE,,piroxicam 10 MG / prednisone 2 MG Oral Tablet,S,,NULL,,251947,Drug,RxNorm,Clinical Drug
1506270,TRUE,,methylprednisolone,S,,NULL,,6902,Drug,RxNorm,Ingredient
1506312,TRUE,,methylprednisolone 2 MG Oral Tablet,S,,NULL,,197969,Drug,RxNorm,Clinical Drug
1506314,TRUE,,methylprednisolone 32 MG Oral Tablet,S,,NULL,,197971,Drug,RxNorm,Clinical Drug
1506315,TRUE,,methylprednisolone 8 MG Oral Tablet,S,,NULL,,197973,Drug,RxNorm,Clinical Drug
1506316,TRUE,,methylprednisolone 100 MG Oral Tablet,S,,NULL,,199771,Drug,RxNorm,Clinical Drug
1506426,TRUE,,methylprednisolone 4 MG Oral Tablet,S,,NULL,,259966,Drug,RxNorm,Clinical Drug
1506430,TRUE,,methylprednisolone 40 MG Injection,S,,NULL,,311659,Drug,RxNorm,Clinical Drug
1506472,TRUE,,methylprednisolone 2 MG,S,,NULL,,316285,Drug,RxNorm,Clinical Drug Comp
1506473,TRUE,,methylprednisolone 24 MG,S,,NULL,,316286,Drug,RxNorm,Clinical Drug Comp
1506474,TRUE,,methylprednisolone 32 MG,S,,NULL,,316287,Drug,RxNorm,Clinical Drug Comp
1506475,TRUE,,methylprednisolone 8 MG,S,,NULL,,316288,Drug,RxNorm,Clinical Drug Comp
1506476,TRUE,,methylprednisolone 16 MG,S,,NULL,,317426,Drug,RxNorm,Clinical Drug Comp
1506477,TRUE,,methylprednisolone 4 MG,S,,NULL,,317427,Drug,RxNorm,Clinical Drug Comp
1506479,TRUE,,methylprednisolone 16 MG Oral Tablet,S,,NULL,,328161,Drug,RxNorm,Clinical Drug
1506513,TRUE,,methylprednisolone 100 MG,S,,NULL,,332216,Drug,RxNorm,Clinical Drug Comp
1506516,TRUE,,methylprednisolone 20 MG/ML,S,,NULL,,337312,Drug,RxNorm,Clinical Drug Comp
1506520,TRUE,,methylprednisolone 62.5 MG/ML,S,,NULL,,346173,Drug,RxNorm,Clinical Drug Comp
1551099,TRUE,,prednisone,S,,NULL,,8640,Drug,RxNorm,Ingredient
1551100,TRUE,,prednisone 1 MG Oral Tablet,S,,NULL,,198144,Drug,RxNorm,Clinical Drug
1551101,TRUE,,prednisone 10 MG Oral Tablet,S,,NULL,,198145,Drug,RxNorm,Clinical Drug
1551122,TRUE,,prednisone 2.5 MG Oral Tablet,S,,NULL,,198146,Drug,RxNorm,Clinical Drug
1551123,TRUE,,prednisone 50 MG Oral Tablet,S,,NULL,,198148,Drug,RxNorm,Clinical Drug
1551170,TRUE,,prednisone 20 MG Oral Tablet,S,,NULL,,312615,Drug,RxNorm,Clinical Drug
1551171,TRUE,,prednisone 25 MG Oral Tablet,S,,NULL,,312616,Drug,RxNorm,Clinical Drug
1551192,TRUE,,prednisone 5 MG Oral Tablet,S,,NULL,,312617,Drug,RxNorm,Clinical Drug
1551193,TRUE,,prednisone 1 MG/ML Oral Solution,S,,NULL,,315187,Drug,RxNorm,Clinical Drug
1551195,TRUE,,prednisone 2.5 MG,S,,NULL,,316581,Drug,RxNorm,Clinical Drug Comp
1551196,TRUE,,prednisone 20 MG,S,,NULL,,316582,Drug,RxNorm,Clinical Drug Comp
1551197,TRUE,,prednisone 25 MG,S,,NULL,,316583,Drug,RxNorm,Clinical Drug Comp
1551198,TRUE,,prednisone 5 MG,S,,NULL,,316584,Drug,RxNorm,Clinical Drug Comp
1551199,TRUE,,prednisone 5 MG/ML,S,,NULL,,316585,Drug,RxNorm,Clinical Drug Comp
1551200,TRUE,,prednisone 50 MG,S,,NULL,,316586,Drug,RxNorm,Clinical Drug Comp
1551201,TRUE,,prednisone 1 MG,S,,NULL,,317475,Drug,RxNorm,Clinical Drug Comp
1551232,TRUE,,prednisone 10 MG,S,,NULL,,317663,Drug,RxNorm,Clinical Drug Comp
1551233,TRUE,,prednisone 2 MG,S,,NULL,,335473,Drug,RxNorm,Clinical Drug Comp
1551234,TRUE,,prednisone 5 MG Oral Tablet [Prednicot],S,,NULL,,351399,Drug,RxNorm,Branded Drug
19078115,TRUE,,prednisone 5 MG [Prednicen-M],S,,NULL,,567757,Drug,RxNorm,Branded Drug Comp
19080181,TRUE,,methylprednisolone 62.5 MG/ML Injectable Solution,S,,NULL,,314099,Drug,RxNorm,Clinical Drug
19081625,TRUE,,prednisone 5 MG [Sterapred],S,,NULL,,567758,Drug,RxNorm,Branded Drug Comp
19081627,TRUE,,prednisone 10 MG [Sterapred DS],S,,NULL,,567786,Drug,RxNorm,Branded Drug Comp
19081860,TRUE,,prednisone 1 MG/ML,S,,NULL,,316580,Drug,RxNorm,Clinical Drug Comp
19084229,TRUE,,methylprednisolone 40 MG,S,,NULL,,330037,Drug,RxNorm,Clinical Drug Comp
19087427,TRUE,,prednisone 1 MG/ML [Liquid Pred],S,,NULL,,539946,Drug,RxNorm,Branded Drug Comp
19087429,TRUE,,prednisone 1 MG [Meticorten],S,,NULL,,567565,Drug,RxNorm,Branded Drug Comp
19087451,TRUE,,prednisone 1 MG [Orasone],S,,NULL,,567566,Drug,RxNorm,Branded Drug Comp
19087452,TRUE,,prednisone 5 MG [Orasone],S,,NULL,,567756,Drug,RxNorm,Branded Drug Comp
19087453,TRUE,,prednisone 10 MG [Orasone],S,,NULL,,567785,Drug,RxNorm,Branded Drug Comp
19087454,TRUE,,prednisone 20 MG [Orasone],S,,NULL,,567794,Drug,RxNorm,Branded Drug Comp
19087455,TRUE,,prednisone 50 MG [Orasone],S,,NULL,,567842,Drug,RxNorm,Branded Drug Comp
19089061,TRUE,,prednisone 2.5 MG [Deltasone],S,,NULL,,567645,Drug,RxNorm,Branded Drug Comp
19089062,TRUE,,prednisone 5 MG [Deltasone],S,,NULL,,567755,Drug,RxNorm,Branded Drug Comp
19089063,TRUE,,prednisone 10 MG [Deltasone],S,,NULL,,567784,Drug,RxNorm,Branded Drug Comp
