concept_id,condition_count,patient_count
21148226,20,20
21148227,20,20
21148228,20,20
21148232,20,20
21148233,20,20
21148234,20,20
21148235,20,20
21148236,20,20
21148239,20,20
21148240,20,20
21148244,20,20
21148245,20,20
21148246,20,20
21148247,20,20
21148248,20,20
21148249,20,20
21148250,20,20
21148251,20,20
21148252,20,20
21148253,20,20
21148254,20,20
21148255,20,20
21148263,20,20
21148264,20,20
21148265,20,20
21148266,20,20
21148468,20,20
21148469,20,20
21148470,20,20
21148471,20,20
21148472,20,20
21148473,20,20
21148474,20,20
21148475,20,20
21148476,20,20
21148477,20,20
21148478,20,20
21148479,20,20
21148480,20,20
21148481,20,20
21148482,20,20
21148483,20,20
21148484,20,20
21148485,20,20
21148486,20,20
21148487,20,20
21148646,20,20
21148648,20,20
21148649,20,20
21148650,20,20
21148651,20,20
21148652,20,20
21148653,20,20
21148654,20,20
21148655,20,20
21148656,20,20
21148657,20,20
21148659,20,20
21148660,20,20
21148661,20,20
21148662,20,20
21148663,20,20
21148669,20,20
21148670,20,20
21148672,20,20
21148998,20,20
21148999,20,20
21149002,20,20
21149003,20,20
21149004,20,20
21149005,20,20
21149006,20,20
21149007,20,20
21149008,20,20
21149009,20,20
21149010,20,20
21149011,20,20
21149012,20,20
21149014,20,20
21149015,20,20
21149016,20,20
21149017,20,20
21149018,20,20
21149019,20,20
21149020,20,20
21149021,20,20
21149249,20,20
21149460,20,20
21149461,20,20
21150785,20,20
21151630,20,20
21152551,20,20
21152776,20,20
21153152,20,20
21153491,20,20
21153492,20,20
21153493,20,20
21153494,20,20
21153495,20,20
21153875,20,20
21153876,20,20
21153879,20,20
21153881,20,20
21153882,20,20
21153884,20,20
21153885,20,20
21153886,20,20
21153890,20,20
21155146,20,20
21155147,20,20
21155148,20,20
21155592,20,20
21155603,20,20
21155687,20,20
21155688,20,20
21155690,20,20
21156223,20,20
21156224,20,20
21156225,20,20
21156226,20,20
21156428,20,20
21156429,20,20
21156432,20,20
21156497,20,20
21156498,20,20
21156499,20,20
21156500,20,20
21156501,20,20
21156527,20,20
21156724,20,20
21156985,20,20
21157142,20,20
21157147,20,20
21157185,20,20
21157189,20,20
21157190,20,20
21157191,20,20
21157221,20,20
21157248,20,20
21157556,20,20
21157575,20,20
21158179,20,20
21158180,20,20
21158191,20,20
21158193,20,20
21158194,20,20
21158196,20,20
21158198,20,20
21158199,20,20
21158200,20,20
21158201,20,20
21158202,20,20
21158203,20,20
21158204,20,20
21158205,20,20
21158206,20,20
21158207,20,20
21158209,20,20
21158210,20,20
21158211,20,20
21158214,20,20
21158220,20,20
21158221,20,20
21158222,20,20
21158223,20,20
21158224,20,20
21158225,20,20
