zip_code,distance_min_acute,distance_min_critical,hospital_count_within_20mi_acute,hospital_count_within_20mi_critical,hospital_count_within_60mi_acute,hospital_count_within_60mi_critical,hospital_count_within_100mi_acute,hospital_count_within_100mi_critical,bed_count_within_20mi,bed_count_within_60mi,bed_count_within_100mi,year_last_existed
00801,4,NA,1,0,8,0,45,0,169,933,7270,2020
00823,1,NA,1,0,3,0,31,0,188,357,5088,2020
00824,5,NA,1,0,3,0,17,0,188,357,3186,2020
00831,8,NA,1,0,5,0,41,0,169,575,6719,2020
00841,4,NA,1,0,3,0,41,0,188,357,6719,2020
00936,0,NA,29,0,52,0,63,0,5397,8056,9399,2020
01086,2,64,5,0,44,0,166,5,1388,10075,37441,2020
01199,0,64,8,0,47,0,160,4,1636,10616,36518,2020
01467,6,47,14,0,90,1,133,4,2543,18330,25422,2020
02651,21,83,0,0,11,0,81,1,0,1927,16417,2020
02669,15,96,1,0,10,0,70,1,252,1661,14422,2020
03746,9,7,4,2,18,5,100,12,531,2268,18369,2020
03754,8,15,3,2,25,4,109,12,135,3073,20577,2020
04228,13,23,2,0,12,6,27,11,352,2201,3729,2020
04343,6,31,2,0,10,6,27,11,335,2151,3914,2020
04629,10,4,1,2,6,5,11,11,114,894,1969,2020
04637,53,27,0,0,3,5,4,12,0,712,994,2020
04644,12,3,1,2,4,4,11,11,114,796,1969,2020
04741,32,112,0,0,1,0,3,0,0,49,203,2020
04933,23,7,0,1,8,8,14,14,25,1319,2961,2020
04962,4,19,2,1,11,7,18,12,360,1896,3127,2020
05657,22,3,0,1,8,6,21,11,25,1305,2459,2020
05740,27,4,0,2,11,7,37,11,40,2340,6047,2020
06160,1,87,9,0,47,0,214,2,2706,11920,62396,2020
06856,0,66,11,0,145,0,199,3,3180,54060,66678,2020
07495,2,45,19,0,151,1,249,5,6341,54183,80505,2020
08808,7,70,7,0,159,0,260,4,1570,51529,80740,2020
11351,2,72,85,0,149,0,242,2,34623,56409,79500,2020
11425,3,80,73,0,150,0,248,2,31170,55235,80379,2020
12089,5,35,1,0,25,2,76,11,99,4462,14324,2020
13064,14,48,1,0,18,1,38,9,126,5100,7969,2020
13341,7,17,4,1,16,4,44,13,827,3215,9194,2020
13362,9,12,4,1,16,5,48,13,827,3292,9339,2020
13677,15,19,2,1,6,5,12,7,249,867,2596,2020
13794,17,38,2,0,25,5,55,9,442,4432,10103,2020
13845,10,33,2,0,21,2,67,8,315,2985,11107,2020
15621,6,53,4,0,46,1,89,12,725,11828,19933,2020
16728,9,55,1,0,15,1,86,2,31,1535,17543,2020
17072,8,72,5,0,35,0,144,2,1802,7386,33452,2020
17083,4,102,6,0,58,0,180,0,1788,12661,43398,2020
17256,6,30,3,0,34,2,114,7,551,6777,26168,2020
17270,10,26,4,0,28,2,111,7,572,5892,25499,2020
17272,3,32,3,0,39,2,117,7,551,7897,26606,2020
17767,3,89,2,0,17,0,78,2,72,1904,12772,2020
18016,2,79,12,0,108,0,257,2,2634,28278,79551,2020
18068,6,90,11,0,105,0,259,1,2358,27053,80834,2020
18105,0,82,12,0,107,0,254,2,2634,26610,78581,2020
18251,7,74,4,0,42,0,160,2,368,7727,38851,2020
18352,5,53,3,0,57,1,261,5,385,13285,80369,2020
18427,12,30,4,0,36,3,217,7,824,6586,62894,2020
18459,10,26,4,0,31,4,193,7,824,4987,55312,2020
18653,50,78,0,0,2,0,14,1,0,550,3902,2020
