zip_code,distance_min,count_within_20,count_within_60,count_within_100
00601,2.0866396180531868,57,212,243
00602,1.3675443423627271,30,132,237
00603,1.2598566008811491,29,143,240
00606,3.6010597270696905,48,182,242
00610,1.069755173165844,39,144,240
00612,2.689779168029125,39,216,243
00616,0.3921156620020858,40,224,243
00617,0.7213901812226298,44,236,243
00622,2.247865399816363,26,128,236
00623,0.43948503013798657,33,132,238
00624,0.4530899732648677,46,217,243
00627,2.079879923647184,38,186,242
00631,7.369843549586828,53,193,242
00637,1.362728300497527,43,178,242
00638,3.9725430380386935,66,240,243
00641,0.6977898569154293,61,222,243
00646,1.3287337007764202,55,232,243
00647,1.1496775809748414,32,172,242
00650,1.5253506185630479,49,235,243
00652,1.1170810839052798,40,234,243
00653,0.4498406423619385,37,185,242
00656,2.1651261700992315,49,201,243
00659,1.305136852348302,39,196,243
00660,0.6678456018073203,38,145,240
00662,1.148392770872107,34,159,240
00664,0.6715605592366709,64,235,243
00667,2.0925568918509465,30,156,240
00669,1.4838463054391822,52,192,242
00670,3.926055471308835,58,168,241
00674,0.5923916040033791,50,240,243
00676,2.7122759671689276,34,152,240
00677,1.4056116138391623,26,123,234
00678,0.643781083326989,36,175,242
00680,1.7053045405914928,35,135,239
00682,1.8088551491934075,37,136,239
00683,1.8193671513017788,38,161,240
00685,2.3199852214407217,45,174,241
00687,1.110337541570186,64,240,243
00688,2.052964572512847,42,233,243
00690,0.18155634388446062,28,143,240
00692,1.0716623339145839,55,234,243
00693,1.4588351512311568,50,238,243
00694,2.9284083867975013,47,238,243
00698,2.12158808311045,44,191,242
00703,1.7200173938645948,82,212,243
00704,0.8184462212031868,46,218,243
00705,0.7472234268590603,76,231,243
00707,1.1118168626161034,56,185,243
00714,0.6034420880993044,62,200,243
00715,0.523602877219066,45,233,243
00716,1.6635857032549806,46,230,243
00717,0.7129234331459021,48,230,243
00718,1.1582650752285764,59,172,243
00719,0.9639232463065357,71,232,243
00720,2.4559295009815303,87,240,243
00723,2.5206973491300992,66,198,243
00725,0.9298237656434918,95,203,243
00727,1.43815542237999,94,209,243
00728,2.9512983412382785,46,224,243
00729,0.9463946654910746,64,186,243
00730,1.3096612460820258,50,230,243
00731,1.3416092379371507,49,231,243
00735,1.2007916004381727,47,160,239
00736,1.0805643093538917,70,214,243
00738,2.7653674480917996,48,169,243
00739,0.1617803142592637,83,215,243
