ZIP,LAT,LONG
601,18.180555,-66.749961
602,18.361945,-67.175597
603,18.458497,-67.123906
606,18.158327,-66.932928
610,18.294032,-67.127156
611,18.276316,-66.807165
612,18.416727,-66.70009
616,18.420412,-66.671979
617,18.446889,-66.561154
622,17.988103,-67.160357
623,18.084371,-67.158765
624,18.051808,-66.721711
627,18.412507,-66.863811
631,18.184294,-66.830795
636,18.1636,-67.080097
637,18.080103,-66.947975
638,18.280188,-66.513111
641,18.268074,-66.701785
646,18.432897,-66.286499
647,17.963613,-66.947127
650,18.349103,-66.578175
652,18.44844,-66.59411
653,17.988642,-66.90169
656,18.040426,-66.789673
659,18.406773,-66.809288
660,18.134695,-67.116199
662,18.468301,-67.015749
664,18.21033,-66.591616
667,18.003422,-67.03581
669,18.276925,-66.869587
670,18.233585,-66.987585
674,18.424145,-66.487895
676,18.381597,-67.080884
677,18.332568,-67.227022
678,18.430503,-66.930479
680,18.183493,-67.133054
682,18.224864,-67.153891
683,18.1078,-67.037263
685,18.336887,-66.972929
687,18.318017,-66.420392
688,18.382311,-66.626416
690,18.493543,-67.096915
692,18.410652,-66.336202
693,18.425961,-66.398098
694,18.483127,-66.39236
698,18.072916,-66.85119
703,18.248401,-66.130662
704,17.973168,-66.229011
705,18.12896,-66.266691
707,18.014055,-65.920751
714,17.995867,-66.055529
715,17.990485,-66.566143
716,17.985014,-66.606721
717,18.002639,-66.611087
718,18.23201,-65.756036
719,18.28992,-66.25344
720,18.216608,-66.423682
723,18.019337,-66.001862
725,18.220689,-66.03958
727,18.211921,-66.073355
728,17.991071,-66.662968
729,18.334918,-65.887078
730,18.030882,-66.611928
731,18.109947,-66.635622
735,18.251772,-65.666882
736,18.103624,-66.151667
738,18.304458,-65.698711
739,18.175543,-66.162102
740,18.333961,-65.631674
741,18.163855,-65.754042
745,18.352176,-65.810929
751,18.003779,-66.262905
754,18.144582,-65.972253
757,17.991428,-66.402337
765,18.124207,-65.42307
766,18.130718,-66.472244
767,18.069489,-65.896029
769,18.096641,-66.358335
771,18.187148,-65.871189
772,18.438944,-65.90522
773,18.342888,-65.723109
775,18.326608,-65.307769
777,18.224327,-65.909085
778,18.264076,-65.97851
780,18.094076,-66.565781
782,18.224878,-66.224482
783,18.300221,-66.328927
784,18.010714,-66.133615
786,18.135725,-66.228698
791,18.142603,-65.812812
794,18.200018,-66.309282
795,18.04645,-66.495142
802,18.342939,-64.925102
820,17.736627,-64.708215
830,18.338559,-64.73653
840,17.72471,-64.848522
850,17.726822,-64.792245
851,17.747525,-64.787439
901,18.466594,-66.107982
906,18.46446,-66.094995
907,18.452271,-66.087625
909,18.441246,-66.068766
911,18.453738,-66.055689
912,18.445067,-66.059942
913,18.464629,-66.04459
915,18.437179,-66.045571
917,18.420674,-66.050105
918,18.422249,-66.069081
920,18.422439,-66.09214
921,18.392088,-66.087109
923,18.410804,-66.037358
924,18.400422,-66.012567
925,18.400271,-66.05059
926,18.348601,-66.053929
927,18.388202,-66.070033
934,18.413,-66.119829
949,18.409879,-66.227441
950,18.467225,-66.237929
951,18.42805,-66.259772
952,18.428724,-66.188931
953,18.360729,-66.251527
956,18.321137,-66.170419
957,18.366147,-66.188962
959,18.385785,-66.155654
960,18.416918,-66.142693
961,18.409907,-66.163361
962,18.439988,-66.1355
965,18.430508,-66.110917
966,18.397875,-66.113935
968,18.406063,-66.101232
969,18.366226,-66.110047
971,18.318884,-66.11919
976,18.33618,-65.994101
979,18.438359,-65.999169
982,18.408744,-65.991273
983,18.41722,-65.981317
985,18.410774,-65.947927
987,18.343988,-65.943754
1001,42.062368,-72.625754
1002,42.377212,-72.464795
1003,42.391883,-72.523584
1005,42.418884,-72.112077
1007,42.283935,-72.400409
1008,42.192024,-72.964076
1009,42.211386,-72.341809
1010,42.128176,-72.205352
1011,42.290128,-72.966516
1012,42.375425,-72.858192
1013,42.142009,-72.595496
1020,42.172611,-72.56192
1022,42.197187,-72.541872
1026,42.470032,-72.925707
1027,42.295008,-72.751877
1028,42.062378,-72.498111
1029,42.176271,-73.035292
1030,42.072925,-72.686972
1031,42.327809,-72.191968
1032,42.457613,-72.81478
1033,42.244949,-72.500143
1034,42.093912,-72.961103
1035,42.356491,-72.568632
1036,42.071188,-72.417718
1037,42.376036,-72.197364
1038,42.379925,-72.604045
1039,42.411304,-72.690951
1040,42.211658,-72.642448
1050,42.291259,-72.874803
1053,42.356301,-72.713584
1054,42.468898,-72.484579
1056,42.183577,-72.457812
1057,42.093596,-72.321494
1060,42.321251,-72.630395
1062,42.323033,-72.701789
1063,42.319584,-72.639539
1066,42.413039,-72.623639
1068,42.353887,-72.060685
1069,42.188862,-72.30648
1070,42.519909,-72.925354
1071,42.160064,-72.87384
1072,42.456968,-72.417244
1073,42.226949,-72.741588
1074,42.380823,-72.103895
1075,42.256532,-72.580248
1077,42.05257,-72.777353
1079,42.185745,-72.33246
1080,42.185727,-72.361558
1081,42.061313,-72.234411
1082,42.299749,-72.279164
1083,42.20684,-72.198619
1084,42.361724,-72.874987
1085,42.153503,-72.771602
1088,42.3827,-72.640361
1089,42.125451,-72.649734
1092,42.191868,-72.235108
1093,42.445258,-72.645058
1094,42.369762,-72.139283
1095,42.138527,-72.420703
1096,42.410549,-72.765765
1097,42.165868,-72.830985
1098,42.397559,-72.943392
1103,42.104418,-72.59008
1104,42.132772,-72.567411
1105,42.095246,-72.577603
1106,42.045695,-72.563323
1107,42.12106,-72.607068
1108,42.082959,-72.559513
1109,42.119674,-72.549726
1118,42.094587,-72.525219
1119,42.124978,-72.51121
1128,42.092296,-72.489135
1129,42.118671,-72.488203
1144,42.101894,-72.590907
1151,42.15186,-72.509131
1201,42.454302,-73.282074
1220,42.62556,-73.119828
1222,42.062743,-73.317498
1223,42.304286,-73.111494
1224,42.503728,-73.201636
1225,42.565107,-73.149142
1226,42.479819,-73.153776
1229,42.29008,-73.354218
1230,42.173196,-73.32429
1235,42.425677,-73.063028
1236,42.274499,-73.386155
1237,42.549804,-73.261144
1238,42.300457,-73.231006
1240,42.382693,-73.266632
1242,42.333734,-73.249199
1243,42.367907,-73.054094
1244,42.117456,-73.278635
1245,42.193307,-73.218499
